,hsa_mir_769,hsa_mir_124_1,hsa_mir_124_2,hsa_mir_124_3,hsa_mir_127,hsa_mir_323,hsa_mir_370,hsa_mir_107,hsa_mir_889,hsa_mir_487b,hsa_mir_379,hsa_mir_221,hsa_mir_381,hsa_mir_758,hsa_mir_128_2,hsa_mir_29c,hsa_mir_766,hsa_mir_431,hsa_mir_218_2,hsa_mir_331,hsa_mir_433,hsa_mir_432,hsa_mir_382,hsa_mir_24_2,hsa_mir_222,hsa_mir_410,hsa_mir_874,hsa_mir_27b,hsa_mir_23b,hsa_mir_1224,hsa_mir_495,hsa_mir_485,hsa_mir_128_1,hsa_mir_539,hsa_mir_22,hsa_mir_185,hsa_mir_139,hsa_mir_154,hsa_mir_136,hsa_mir_134,hsa_mir_487a,hsa_mir_186,hsa_mir_330,hsa_mir_496,hsa_mir_409,hsa_mir_369,hsa_mir_411,hsa_mir_324,hsa_mir_329_1,hsa_mir_491,hsa_mir_132,hsa_mir_30e,hsa_mir_377,hsa_mir_744,hsa_mir_129_1,hsa_mir_329_2,hsa_mir_23a,hsa_mir_27a,hsa_mir_129_2,hsa_mir_151,hsa_mir_628,hsa_mir_1180,hsa_mir_323b,hsa_mir_1307,hsa_mir_3200,hsa_mir_655,hsa_mir_490,hsa_mir_7_1,hsa_mir_101_1,hsa_mir_98,hsa_mir_380,hsa_mir_376a_1,hsa_mir_32,hsa_mir_654,hsa_mir_99b,hsa_mir_935,hsa_mir_543,hsa_mir_574,hsa_mir_149,hsa_mir_197,hsa_mir_1249,hsa_mir_212,hsa_mir_940,hsa_mir_155,hsa_mir_299,hsa_mir_656,hsa_mir_148b,hsa_mir_193a,hsa_mir_24_1,hsa_mir_455,hsa_mir_125b_2,hsa_mir_29a,hsa_mir_590,hsa_mir_106b,hsa_mir_137,hsa_mir_328,hsa_mir_1287,hsa_mir_873,hsa_mir_187,hsa_mir_29b_2
TCGA-CS-4938,5.12598078625434,4.19173523951006,3.53352372962018,3.46426114479556,6.9471516783739,1.53352397879713,2.05708560984072,6.18815977607899,1.53352397879713,1.62098655621305,7.82354259486292,5.13343661033983,2.53352372962018,3.44041434184049,9.21080293835572,10.6088357543553,1.23396350526365,2.89107577678067,1.78145120372003,5.37272752968632,2.70344870337616,0.703448924866788,0.99295546151973,9.67594994996191,2.48772017665248,3.78145130863665,4.27499072766511,10.1767035157364,9.43439055532481,1.23396350526365,0.855451575330548,1.34087840250079,9.57825937354706,2.05708560984072,15.0329414579338,6.20948077657432,6.37901379139833,0.118485981164342,0.855451575330548,4.83730448095142,0.118485981164342,7.56969735878546,5.69843067105548,-1.46647651955681,0.340878972048137,0.703448924866788,0.99295546151973,5.3664137743856,-0.466476519556814,1.70344892486679,7.12411079407862,14.0017022884125,-0.881512689892197,6.94079150891094,7.20240872919214,-0.881512689892197,10.6024699268705,8.52646208265862,7.41004069845206,11.1641321642395,4.52220844974674,7.33280536596407,1.44041434184049,9.01633170463027,4.04131842732125,1.580591917196436,0.703448924866788,2.39150461304772,13.4645151234973,5.95137625179195,-1.46647651955681,1.0533637493280896,3.85545187434293,1.34087840250079,15.7754370914596,4.7526922417207,-1.46647651955681,4.22002427857614,6.18815977607899,9.3790137978986,3.90856315196071,2.17737982969119,1.92584109307109,2.57791796224089,-2.4664725327301,0.1226787495954214,5.82354259486292,6.39150475052468,2.95978851329634,6.34409539044444,8.18098217533815,13.9594444320381,3.14823356865014,9.65116684917609,1.34087840250079,7.53914829335746,5.4404143418405,-2.4664725327301,-1.46647651955681,6.70595125856257
TCGA-CS-4941,4.75091398262245,5.07284209894202,3.83337609518729,4.12288273078367,9.21291496258798,4.05576857435668,3.47080611701023,4.34527515212012,3.20777168515162,2.93646965794978,8.4238938898398,5.93335702043945,3.79273418587277,4.72234481113669,6.92240969298944,9.4152741177869,1.60205061068549,6.28550296354831,5.57434366308545,4.28794201062427,2.63307752652892,3.22823580090702,3.40041674357539,7.99660649018746,5.4535280816811,3.87290448672735,5.82332247440361,7.41052518676796,8.07707907322458,2.03268485770402,4.08971592847173,3.77892837733915,7.77545616998387,4.64834423544577,15.1977033563479,5.13918455427766,7.51311686921682,2.50475334301859,5.31689336720187,7.23709832745912,1.32641596797272,7.45352807345036,4.43604067663324,0.98537947201374,5.39137159795722,1.88584374641319,2.07848858037287,5.07284209894202,0.537920230062512,2.50475334301859,6.64454267712556,13.4003639026975,0.778928482439394,4.46219291579957,5.7995878354526,0.778928482439394,9.54175755714461,7.22442078618772,6.23835998642188,8.96685138326323,6.55826890468005,4.67094567958475,4.14457781671396,8.56532366311012,4.66345113802333,0.885843746413186,1.16595180338438,3.32641611179413,12.8255539453629,4.89866760022116,0.0784882387969984,0.778928482439394,3.79273418587277,1.88584374641319,14.1380865999113,4.86639122477186,-0.114157034331645,4.89226982472392,5.71148383860369,8.56582625708987,1.53792023006251,0.778928482439394,1.24841339205082,7.39363820644004,1.47080598688611,-1.33654789417885,5.86312348402151,5.3638908780603,2.96113172815486,5.9611316818395,5.2129149528634,12.0012124017605,3.69319844540088,7.19483260130917,4.27816098330036,7.1174076281097,3.05576848760727,-2.92151039490001,-0.336549715916463,9.21451849039363
TCGA-CS-4942,3.44220239042184,3.15789936914855,2.38233109192044,2.14354427660657,7.91384461678719,3.38233095356652,2.45388416549823,3.47696784966554,2.90907894614244,2.2810477409901,7.63603827423928,3.62897091719668,2.56577701412808,4.09214501244187,6.93535818981518,8.14083653315056,0.49968825008944,5.56308300333697,3.66961291141174,2.7285065596509,2.45388416549823,2.82161593683278,2.60821241111108,7.10238680276569,2.85723995606557,3.12904458158238,4.09960079773966,6.70670225949742,7.366194149704,0.669612798038387,2.35766882299906,2.56577701412808,7.8317244849813,3.74761544131407,13.1804045711338,3.99154107432311,6.55089687941453,0.747615119095043,3.34517805259834,6.39753338950526,0.30704258908412,6.7428619237501,3.85723995606557,-0.178384471311358,3.80346863661995,1.25457529875954,0.587150851255074,4.36387409695625,-1.50031174991056,2.08465041069059,5.45678998780206,12.1969813342845,-1.91534788871016,4.52759391826759,4.41257729841699,0.0846507508105957,7.81540359267669,5.62897094634983,4.63411426529171,8.03836188626029,5.69690461640616,4.07711675759324,2.89200528415961,8.18924918927741,4.31986688743418,-0.692956244790268,0.0846507508105957,2.38233109192044,11.1308081368415,4.50531246578043,-0.50031174991056,0.30704258908412,1.8572397569709,1.70914150540921,12.8641475152808,4.37005265571591,0.0846507508105957,2.87472733721852,5.9754213600437,7.76237007849467,1.30704258908412,0.200127654273602,0.587150851255074,4.11439776102586,-0.50031174991056,-2.50031583135598,5.2810476667821,4.44805516771719,2.22760831961111,4.61862899982128,4.6595592729109,11.0898071091195,1.82161593683278,6.91331586791877,2.92595272003991,6.25290468240109,1.49968773990939,-3.50031583135598,-1.17838447131136,7.63731953492534
TCGA-CS-4943,3.59820665738647,3.98677197343109,3.04566575348365,3.08363360368267,7.43431446989432,3.27627868162506,2.83921487601622,4.22623792204397,2.88293625344554,2.24311181768987,7.56420083148221,3.51728678112886,2.69949011234961,4.28445253903769,6.56671642950724,7.5792290413465,-0.183152937012233,5.00667157699157,3.53109258065389,3.54476751755097,0.13877515787513,2.77104337337464,2.40180956370892,7.67560510647147,2.54476751755097,2.64973707715251,3.78263124281902,6.85713672179195,7.02630037327949,0.723737658596286,3.30870015931744,2.43155690710298,7.42047334902346,3.10224928185002,12.7254507210422,4.07423482003431,7.00913982145916,1.67482805811534,3.3560058740958,6.65605079386264,-0.598190436291077,7.40086994348832,3.19188649433469,-0.183152937012233,3.59820665738647,1.51728678112886,1.46070325276249,4.74165951266822,-0.0132279355699204,2.13877515787513,5.80836885757484,12.1635684831433,-0.375798014954629,4.68103315140233,4.1655751368271,-0.375798014954629,7.45980122910288,6.01897082007534,4.53109251825458,8.80872310086346,5.13877511692558,3.54476751755097,1.51728678112886,8.45256512566515,3.59820665738647,0.816847062987767,0.624201985045371,2.88293625344554,11.5406679066287,5.67171538964388,0.723737658596286,0.517286781128859,3.06477457643135,2.74758440055065,13.0004436189818,3.67482794515107,0.401809563708923,1.81684706298777,6.14552192917798,8.98269614927712,0.904309904238107,0.904309904238107,1.62420198504537,2.98677206443008,0.276278681625064,-1.59819043629108,5.55155662169316,3.54476751755097,1.98677206443008,3.74758429314201,4.6112628703115,11.0197360607489,2.40180956370892,8.11318969036757,2.96659418249245,6.02630036221205,1.40180956370892,-3.18315293701223,0.401809563708923,7.42047334902346
TCGA-CS-4944,3.07237132799663,3.85735841252383,2.72242886366569,3.09439756156327,7.01145317048765,2.50943514529958,1.37193182424754,3.61985913232615,2.60459230825819,0.509435398671948,7.10799520426128,2.40755561161795,1.6349658584685,3.40755547566204,6.77281100655765,9.68798678250052,0.750443576136462,3.94482125377417,2.40755561161795,3.72242886366569,-0.628068733171745,1.05000359000538,2.004199698103,8.24414471913329,1.37193182424754,2.13746647224243,5.50121460229856,8.50275950643043,8.41960082410501,1.29793092008736,1.75044314735245,0.0500028932311685,7.64619323632235,2.05000359000538,14.6556783096035,4.29793099343201,5.78809575008672,0.85735841252383,3.11609272846509,5.757362618737,-1.94999571322075,6.88920727160847,3.77792389995509,-0.949995713220747,2.75044314735245,0.956893767549411,0.634965858468502,4.6793601185894,-1.365035070564,1.95689413916229,5.93874673600451,13.3271455555075,-0.365033212499591,4.72948359774058,4.20987480497012,-1.94999571322075,8.97370236228291,7.41085056132354,4.78471309573782,8.86658718633228,5.98664140671699,4.6793601185894,1.75044314735245,7.23239783427662,3.77792389995509,-1.365035070564,0.509435398671948,2.50943514529958,12.6148377048878,4.75044320095046,-2.95000128742116,-0.949995713220747,3.37193154553793,1.90798432083932,13.6347164680903,4.35378425880316,-1.94999571322075,4.05000350290862,7.44553761528737,7.59593324676807,1.85735841252383,0.750443576136462,-0.949995713220747,4.02728341396614,-0.949995713220747,-2.95000128742116,5.46363141481994,4.20987480497012,3.25945689913913,6.90331302865232,6.05562803346311,12.2936237712854,3.05000341581186,6.94784893645522,2.33540579100163,6.76939229440518,0.371931266828255,-1.365035070564,-0.142641587476169,8.76553654310063
TCGA-CS-5390,3.63745548958207,5.36328053692715,4.24687107396962,4.30624962411254,8.51003173370407,3.5219782625014,3.37442106056252,4.23469635937956,3.30624955118959,2.52197838809093,8.45074338023915,3.87561524441817,2.99590939557442,4.8989477498256,7.63166386585537,8.53009561404447,1.25894398225713,6.15295318519621,4.65583402036438,3.32933316661764,1.35205338664861,3.05249293089651,3.90664214213002,6.99410497772176,2.7096053912667,3.77831803620599,5.19754331964804,7.05941242138259,7.54926997962937,2.74437080942737,3.72709270905041,3.5018003787949,8.40326222529255,4.0662988181962,13.4267174284576,4.48133627441578,7.22395851815315,2.10694088881208,4.35205331600451,7.28574393989645,1.81148500528591,6.08337231129196,4.76990579577491,-0.647946613351387,4.6739813685054,2.15940830870622,2.0524931047897,4.38547631915976,-0.0629841126302311,2.93701569898548,6.06285971244288,11.900333357764,0.521978388090925,4.84390638250667,5.88343474940875,0.159408308706217,7.24231755885739,5.35205328068245,6.15295318519621,8.61120805221538,5.45534109641577,3.48133627441578,3.99590948599888,7.94451031849958,4.29456781847203,-0.647946613351387,0.81148500528591,2.99590939557442,11.5301734430337,4.7357575708299,0.159408308706217,0.521978388090925,2.30624969703549,3.18494324217395,12.8819413187861,4.59998078111265,0.159408308706217,3.41814244214451,6.09688711875835,8.04815145404422,2.35205338664861,0.937015887369769,1.25894398225713,4.34073800222042,0.81148500528591,-1.64794661335139,5.36328053692715,3.3520532453604,2.90664204593378,3.05249293089651,4.7529327159196,11.1269432720154,2.10694088881208,7.11858219143065,3.6739813685054,6.40462133527824,2.35205338664861,-1.64794661335139,0.159408308706217,8.16021305865312
TCGA-CS-5393,5.14931879901811,6.49724211260126,5.50546262956907,5.4254093856328,9.40989197773176,6.20337793828537,4.24570336613838,5.12818004666046,5.59677777869943,5.18558233810366,9.695062582624,5.54985673352928,4.80758223166791,6.9055657858279,8.4372745912785,9.45992332989955,1.90401195349293,7.63193245169617,6.83393356572463,4.17531404965426,3.04603104269065,4.89152106629478,4.50546262956907,9.2730451956773,4.6533613116521,5.07945402022712,6.73428131328972,8.28920498350399,8.02902457457952,3.17531396980336,5.82410813004964,5.23090635558625,9.27424844348176,6.55382564833848,13.9384789510867,4.72551110300099,8.56419235854598,3.50546262956907,5.72902559832252,8.90595397354046,2.95292152184995,8.3227370216076,4.84044686812617,2.25548441776143,5.62345981768409,3.56959292280252,3.61588660321613,5.14406309760137,2.71845632301256,4.2554843422268,7.2844357426852,12.8061531671185,3.09042513029023,5.46809575488263,6.8371938926045,2.50546262956907,8.14076850924181,7.09451787676697,7.56173084088562,9.60708022863406,6.69168943889979,4.64594381644886,3.68988719054366,8.67447654111797,4.970843487353,3.29395853774752,3.31281747903495,4.15455542352368,12.0516555511046,5.98854549974607,2.97676834016446,3.02331089410296,3.52176449328332,4.23585554892924,13.6609852230967,5.26519952798359,2.82739062282802,3.56959292280252,7.58906281892621,9.37330293755233,3.66074086541723,2.77395139838187,3.31281747903495,3.68988719054366,2.25548441776143,1.50546262956907,5.85660263775088,4.94084874434901,4.04603104269065,5.17015232822485,5.4210704361565,12.0807869855776,3.64594381644886,8.32854030840099,6.09315491055838,7.06562173537334,2.21595592768374,0.952921708168697,1.50546262956907,8.71889827942828
TCGA-CS-5394,1.27132287891493,1.6863606770334,1.31862863225324,0.823864282285037,5.69982283414276,-0.635566521335471,0.612360048404422,3.52430381234527,-0.313640219485652,-1.63556652133547,5.06487220546302,1.40882651133383,-0.176136532732212,1.40882651133383,7.09659991346676,6.56164917903686,-1.05060402061432,1.64983477802062,-0.635566521335471,2.75674983415931,-2.05060402061432,0.0648718175461705,0.756750047616166,5.48855379436202,0.94939523228698,-0.635566521335471,4.29516978743565,5.20992255513225,6.06487220546302,-0.176136532732212,0.686360677033398,-1.31363842644811,7.8597878771841,-0.313640219485652,13.0985863841911,3.008288592617,7.57692887402345,-1.31363842644811,1.64983477802062,4.61709791171708,-3.63556652133547,4.49885877793908,1.79069739939595,1.4998325109818496,1.0082889512245,-3.63556652133547,-2.63556652133547,3.5542570550585,1.1252510415394394,0.0648718175461705,4.3127996939529,11.0477561144479,-1.05060402061432,3.03685776590833,1.64983477802062,1.0793233445407826,6.68071401193522,4.56900365041907,1.82386428228504,7.71647590985257,3.89581396997163,2.73947182986862,-3.63556652133547,7.23556766730772,4.16533241372186,-2.05060402061432,-3.63556652133547,0.271322878914933,10.3933745297883,4.33021675922587,-3.63556652133547,-1.63556652133547,0.612360048404422,-0.465641519893159,11.8961185380391,3.73947193788294,-3.63556652133547,1.11932031674028,3.72198449929887,5.9247653154259,0.823864282285037,-2.05060402061432,-0.313640219485652,2.97914240796494,-3.63556652133547,0.1226787495954214,4.3923385134521,3.73075471489014,-1.05060402061432,0.451895265187172,4.05093304840079,10.0230902780482,1.11932031674028,5.37005705110671,-1.31363842644811,5.81564359151907,-0.313640219485652,-0.13654823629608798,-2.63556652133547,6.32588218392494
TCGA-CS-5395,5.40401563672708,6.40738247837414,5.43733571723946,5.47632983775714,9.43279957277526,4.89136732083262,3.54519172336526,4.78148970760652,4.9479508809825,3.61674490465808,9.8704780899968,4.84245775890449,3.85237324981288,5.97996125522555,7.55129189031071,8.78472954670945,2.05486618505712,6.11375974911337,5.5634154613005,4.81229577175019,2.61674490465808,3.85237324981288,4.17034332235057,9.01845028455941,2.36298824003998,4.99346550452632,5.92464347871536,9.07776224471207,7.38193746459902,2.70694269224693,4.41743614870357,3.72863781281376,8.17627624138424,4.15440174286978,14.6294145453085,4.62833290527682,7.00239864942473,1.98447670091907,4.95716938511112,8.35951617179828,2.24751104599027,6.91757721105495,6.07193958506065,0.469903684335963,5.12198027438385,3.18611067304649,2.75001151161891,4.84245775890449,1.2475113498032,3.87200200122084,6.47953226081358,12.8663936741465,1.12198019152577,5.86222098310945,6.50489898995391,1.12198019152577,7.59032660779065,6.99346552717077,6.60506314693929,9.56454683009162,5.84742399780063,5.16239455152757,4.49543863938464,8.76255386948643,4.36298838026134,1.7500112971627,2.24751104599027,3.46990355413042,12.4638023013157,5.86222098310945,0.247510742177279,0.832473647982413,4.13828204109446,4.89136732083262,15.1773628484911,5.29917328336853,1.2475113498032,3.81229572040152,6.92699125071874,8.90155040195931,1.91047633054533,0.469903684335963,3.96632940497249,5.42409989391855,1.46990368433596,-0.0155229345054368,6.36298836273367,4.69597166044653,3.46990355413042,3.52052961373085,6.2661749894436,11.701981811373,3.61674490465808,8.30820707894881,3.44390841898606,7.71918635708898,4.73936424359093,0.469903684335963,0.832473647982413,7.08881339888706
TCGA-CS-5396,3.07073725023922,2.24066206089485,1.29312972063509,1.39266527644338,7.97762780005893,0.945206149617892,1.94520614961789,4.20002019850098,0.945206149617892,0.655699865432364,7.63425128479812,2.94520633693572,1.80770277572222,3.9935693029193,6.64564604066775,8.177518220935,1.94520614961789,2.91203951220658,1.18621465257544,3.75256128575301,-0.92926171951318,2.29312972063509,2.69522795736128,6.99158625289362,2.12963087060958,0.655699865432364,5.49139924927072,7.22386696168763,8.0093366570489,-0.92926171951318,1.65569986543236,1.73370228103617,7.71819563130499,0.945206149617892,14.0672401156169,4.15820007128861,8.72656603343149,1.48577457781005,3.31866478175733,7.56259030078009,-0.192297224277778,6.39266529361418,2.84332664524814,-0.92926171951318,3.87809212323739,1.07073690682318,0.945206149617892,5.00933664585055,-2.51422696756292,2.07073725023922,4.96150813032257,11.8702212093735,1.29312972063509,4.88665412687087,0.807702775722222,-0.92926171951318,7.94418131515963,5.98162972598682,0.807702775722222,8.71339064624604,5.46876826855997,2.48577457781005,1.39266527644338,8.4135526657646,3.2406622135242,-0.514224907065991,-1.51422696756292,2.69522795736128,11.2719422107922,4.61505769777983,0.655699865432364,-1.51422696756292,2.53016890009615,3.21369519760171,12.9190993296049,4.57323757056746,-2.51422696756292,4.69522806873944,4.77117694196369,7.02687131831052,1.07073690682318,-0.92926171951318,-0.514224907065991,5.29312961025138,-0.192297224277778,0.1226787495954214,5.61505772721548,3.96150813032257,2.3437557328037,3.87809212323739,4.40463797260191,12.1282777317865,2.3437557328037,6.51091427158855,4.29312964704595,6.40165408356044,0.0707369068231843,-0.13654823629608798,0.9771802357840533,8.96757413555511
