node,embedding
Low.density.lipoprotein.receptor,"[0.006652333773672581, -0.14772523939609528, 0.12079896777868271, 0.08647062629461288, 0.10687451809644699, 0.03555779159069061, -0.03990274667739868, 0.034018468111753464, -0.1158311739563942, -0.04303944483399391, 0.11073113232851028, 0.07568325847387314, -0.02828606218099594, -0.021971888840198517, 0.011529318057000637, 0.027408083900809288, 0.003227893030270934, 0.0608283206820488, 0.0021740058436989784, -0.04402860999107361, 0.02801099233329296, 0.02949114888906479, -0.01238533016294241, -0.14665937423706055, -0.07172223925590515, -0.012026446871459484, -0.10097052901983261, 0.13566173613071442, 0.03260341286659241, -0.018029866740107536, 0.005974494852125645, 0.02306235395371914, 0.10783831030130386, 0.10209038853645325, 0.03190753981471062, -0.004830325488001108, 0.14621582627296448, -0.07366722822189331, 0.023610081523656845, 0.0976487472653389, -0.11011862009763718, 0.08759070932865143, 0.04321477934718132, -0.04086644947528839, 0.051656872034072876, -0.006861364468932152, -0.034648533910512924, -0.020708991214632988, -0.04567299410700798, 0.09573988616466522, 0.061194997280836105, 0.042323991656303406, 0.09886839240789413, 0.04792671650648117, -0.07103286683559418, 0.036270081996917725, 0.07321791350841522, -0.061815813183784485, -0.04632226377725601, 0.1055954098701477, 0.009710603393614292, 0.006657768506556749, 0.11299953609704971, 0.0252271369099617, 0.03639465570449829, -0.019302573055028915, 0.0654037669301033, 0.06273935735225677, 0.08316919207572937, -0.030704792588949203, 0.03888563811779022, -0.07712705433368683, -0.18586578965187073, -0.12626145780086517, -0.027023473754525185, -0.11274735629558563, -0.038004692643880844, -5.8205725508742034e-05, -0.09467903524637222, 0.14797791838645935, 0.027511028572916985, -0.08120288699865341, 0.09056355804204941, 0.24743403494358063, 0.09423341602087021, 0.04416167736053467, 0.0936780720949173, -0.08850656449794769, 0.07029259949922562, 0.06807591766119003, 0.037889234721660614, -0.07179712504148483, 0.015116292983293533, -0.06641904264688492, 0.13797065615653992, -0.10096614807844162, -0.024338310584425926, -0.114375539124012, -0.08774299919605255, -0.125244602560997, -0.06737613677978516, 0.06627427786588669, -0.14032194018363953, -0.10744965076446533, -0.007335794158279896, -0.04432256519794464, -0.05630912631750107, -0.018585408106446266, 0.1354050189256668, -0.04148882254958153, 0.13540974259376526, -0.1961957812309265, 0.04996374994516373, -0.02238190360367298, -0.12569455802440643, -0.024013321846723557, 0.0442732609808445, 0.0011978575494140387, -0.021643362939357758, -0.06334663927555084, -0.06481020897626877, -0.08388610929250717, -0.05497229844331741, 0.037547554820775986, -0.0849275141954422, -0.012838861905038357, -0.13580569624900818, -0.020549919456243515]"
N6.carboxymethyllysine,"[-0.004063782282173634, -0.14623241126537323, 0.12379291653633118, 0.12105534970760345, 0.11621292680501938, 0.053046971559524536, -0.06585106253623962, 0.03395606577396393, -0.09859471023082733, -0.035232171416282654, 0.11456712335348129, 0.08419707417488098, -0.01333669200539589, -0.02566170133650303, 0.041888363659381866, 0.03132163733243942, -0.0080655412748456, 0.05554574355483055, -0.011604267172515392, -0.0009972302941605449, 0.023478928953409195, 0.05318329855799675, -0.010168350301682949, -0.13259083032608032, -0.11355335265398026, -0.03430083021521568, -0.07808949798345566, 0.11200504750013351, 0.026729462668299675, -0.04700237512588501, 0.012779592536389828, 0.01634052023291588, 0.09323406964540482, 0.09655951708555222, 0.020247003063559532, -0.00025764433667063713, 0.19959679245948792, -0.040276721119880676, 0.056667547672986984, 0.10449595749378204, -0.11085674911737442, 0.07009332627058029, 0.03565129265189171, -0.022685691714286804, 0.08922597020864487, 0.023728998377919197, -0.004379330202937126, -0.014850905165076256, -0.0842251256108284, 0.09300451725721359, 0.07036372274160385, 0.032101184129714966, 0.10787000507116318, 0.04586980864405632, -0.03129536658525467, 0.05915110185742378, 0.11596360802650452, -0.07044316828250885, -0.005613055545836687, 0.1048174574971199, 0.006843578536063433, 0.009144996292889118, 0.09673365950584412, 0.03956931084394455, 0.04530256614089012, -0.013693134300410748, 0.05525709316134453, 0.09796443581581116, 0.026912322267889977, -0.014057710766792297, 0.08407775312662125, -0.08284883201122284, -0.1704183667898178, -0.11185191571712494, 0.009874769486486912, -0.06280241161584854, -0.05619153380393982, -0.0024726749397814274, -0.09312065690755844, 0.10889401286840439, 0.03896951675415039, -0.07929644733667374, 0.06291243433952332, 0.2421724498271942, 0.047404274344444275, 0.06489167362451553, 0.12951187789440155, -0.06808607280254364, 0.08968719094991684, 0.07995692640542984, 0.03636769577860832, -0.06488276273012161, 0.030163029208779335, -0.11635129153728485, 0.12846459448337555, -0.1058272048830986, -0.034833986312150955, -0.09504648298025131, -0.088470958173275, -0.11240444332361221, -0.07514552772045135, 0.09967418015003204, -0.14482654631137848, -0.1294577717781067, -0.0005047173472121358, -0.002774639753624797, -0.04696973040699959, 0.005185949616134167, 0.10556039959192276, -0.053162187337875366, 0.1534058302640915, -0.1740591675043106, 0.05106855556368828, -0.030867498368024826, -0.08059599250555038, -0.03593045473098755, 0.04144367203116417, 0.021564960479736328, -0.02511163242161274, -0.06314697116613388, -0.028858443722128868, -0.06057333946228027, -0.036675866693258286, 0.03936047852039337, -0.0778660699725151, 0.010107762180268764, -0.0904727354645729, -0.0019121605437248945]"
hypotaurine,"[-0.020483648404479027, -0.13225315511226654, 0.07474762201309204, 0.09641867130994797, 0.08164922147989273, 0.026006901636719704, -0.05282348394393921, 0.06625121086835861, -0.10183326154947281, -0.032670196145772934, 0.1196502074599266, 0.08896277099847794, -0.010020234622061253, -0.02324892021715641, 0.045648179948329926, 0.01248176209628582, -0.01424088142812252, 0.027006609365344048, -0.01359079871326685, -0.03659502789378166, 0.0026632167864590883, 0.03272140398621559, -0.019202694296836853, -0.13256140053272247, -0.08304338157176971, -0.007758687250316143, -0.05278313532471657, 0.1467525064945221, 0.015192532911896706, -0.04812408611178398, 0.020705822855234146, 0.00801052339375019, 0.13451305031776428, 0.08223765343427658, 0.02915096841752529, 0.01647374965250492, 0.1652899831533432, -0.0811804011464119, 0.005148399621248245, 0.07632045447826385, -0.10647664964199066, 0.11019843071699142, 0.03067922778427601, -0.03878810629248619, 0.0828484296798706, 0.02694668062031269, -0.015609966591000557, -0.008691884577274323, -0.051264457404613495, 0.12068891525268555, 0.056404564529657364, 0.06590764969587326, 0.11563839763402939, 0.06496714800596237, -0.023078052327036858, 0.045950084924697876, 0.0883212462067604, -0.06888711452484131, -0.03652933984994888, 0.15972717106342316, -0.02220754884183407, 0.029725832864642143, 0.1331123560667038, 0.021738003939390182, 0.024714697152376175, 0.009404947981238365, 0.06792427599430084, 0.05361378937959671, 0.06358688324689865, -0.018399598076939583, 0.05549939349293709, -0.07880697399377823, -0.1713118553161621, -0.12921157479286194, -0.01991863176226616, -0.09168167412281036, -0.022967804223299026, -0.015269286930561066, -0.08882047235965729, 0.11594484001398087, 0.040802884846925735, -0.067450150847435, 0.09169227629899979, 0.2413913756608963, 0.07241552323102951, 0.05285549908876419, 0.12187324464321136, -0.06012492626905441, 0.07581061124801636, 0.06574258208274841, 0.05699976161122322, -0.06594649702310562, 0.05047042295336723, -0.06871145218610764, 0.11234421283006668, -0.08324236422777176, -0.026194382458925247, -0.1442170888185501, -0.06750966608524323, -0.11620454490184784, -0.11580869555473328, 0.078729547560215, -0.12497241795063019, -0.12207461148500443, -0.001505733816884458, -0.03481545299291611, -0.06081382557749748, 0.001420981134288013, 0.11212580651044846, -0.05386878922581673, 0.1339450627565384, -0.17540836334228516, 0.045983295887708664, -0.029742689803242683, -0.11547444760799408, -0.03179113194346428, 0.04110065475106239, -0.0324973464012146, -0.04814837500452995, -0.058966536074876785, -0.07963578402996063, -0.10314362496137619, -0.0637320801615715, 0.027195196598768234, -0.06977526843547821, -0.03919604420661926, -0.09693180024623871, -0.02676697075366974]"
Chordin.like.protein.1,"[-0.0047519332729279995, -0.12673859298229218, 0.09653311222791672, 0.12798726558685303, 0.0976037085056305, 0.05290984362363815, -0.05239123851060867, 0.06073303520679474, -0.11419742554426193, -0.04257425665855408, 0.09911621361970901, 0.06471265107393265, -0.03227047994732857, -0.035882215946912766, 0.05258616432547569, 0.028669457882642746, -0.03154947981238365, 0.07678873836994171, -0.004448663908988237, -0.030359672382473946, 0.005330941174179316, 0.09729830920696259, 0.012254104018211365, -0.15902666747570038, -0.07690462470054626, -0.04106193408370018, -0.09824574738740921, 0.15496492385864258, 0.032649848610162735, -0.0462556891143322, 0.010205840691924095, -0.0008743429789319634, 0.1053476557135582, 0.07493565231561661, 0.031229982152581215, -0.008940743282437325, 0.1871306449174881, -0.06500257551670074, 0.05322127789258957, 0.09353012591600418, -0.09258970618247986, 0.07300975173711777, 0.05251167714595795, -0.0503111369907856, 0.06656304746866226, 0.03787946328520775, -0.034494247287511826, -0.0014951879857107997, -0.04956713691353798, 0.10357088595628738, 0.07338590174913406, 0.07373854517936707, 0.11703332513570786, 0.038910310715436935, -0.026399096474051476, 0.07064162939786911, 0.09991881251335144, -0.04649271443486214, -0.021872438490390778, 0.10453108698129654, 0.0011297803139314055, -0.0047699688002467155, 0.12132778018712997, 0.02982303500175476, 0.03801122307777405, -0.011207842268049717, 0.08914101123809814, 0.08066152781248093, 0.052428778260946274, -0.03184933960437775, 0.05006086081266403, -0.06152063235640526, -0.18138563632965088, -0.09283748269081116, -0.011613954789936543, -0.1128256767988205, -0.021913940086960793, 0.012520241551101208, -0.07454324513673782, 0.13958324491977692, 0.04389452189207077, -0.06393634527921677, 0.04551208019256592, 0.23884454369544983, 0.08699887990951538, 0.06268215924501419, 0.149037167429924, -0.047877803444862366, 0.06752991676330566, 0.09696534276008606, 0.05079976096749306, -0.07084465771913528, 0.03487834706902504, -0.07551518827676773, 0.11979472637176514, -0.10019055753946304, -0.03768521174788475, -0.10691222548484802, -0.09862494468688965, -0.10110363364219666, -0.07787517458200455, 0.062095802277326584, -0.110120989382267, -0.09327960014343262, 0.0016392277320846915, -0.032577112317085266, -0.03132800757884979, 0.01160518079996109, 0.10321078449487686, -0.06737637519836426, 0.15248343348503113, -0.16885504126548767, 0.02325865440070629, 0.0027482600416988134, -0.11341100186109543, -0.03021269664168358, 0.05982537567615509, 0.01929851993918419, -0.022122826427221298, -0.03923938795924187, -0.07435443252325058, -0.05336273834109306, -0.02187332883477211, 0.010543547570705414, -0.061951376497745514, -0.007892478257417679, -0.11780503392219543, -0.014319217763841152]"
Eotaxin,"[0.00599354924634099, -0.17138086259365082, 0.08137731999158859, 0.1202583760023117, 0.09386687725782394, 0.044022928923368454, -0.05549630895256996, 0.07168123871088028, -0.09436172991991043, -0.05022795870900154, 0.10113031417131424, 0.08063860982656479, -0.02067573368549347, -0.0035029128193855286, 0.05442911013960838, 0.022343769669532776, -0.03036317229270935, 0.07356330752372742, 6.075622877688147e-05, -0.033383600413799286, 0.010403288528323174, 0.04860740527510643, -0.012997345067560673, -0.12056995183229446, -0.09279157966375351, -0.04527056962251663, -0.10068609565496445, 0.13033698499202728, 0.02196279726922512, -0.03266611695289612, 0.01653762347996235, 0.01588526926934719, 0.12919053435325623, 0.06813319772481918, 0.04015425220131874, 0.005475040525197983, 0.17388662695884705, -0.06862970441579819, 0.031891338527202606, 0.09561297297477722, -0.08323782682418823, 0.07066759467124939, 0.02631784975528717, -0.03829219937324524, 0.059871021658182144, 0.030526576563715935, -0.009585184045135975, -0.0007016128511168063, -0.03675869479775429, 0.11975305527448654, 0.04158627986907959, 0.06713727116584778, 0.1366208791732788, 0.05539533868432045, -0.02309940755367279, 0.050509318709373474, 0.0933605208992958, -0.043813884258270264, -0.0272582545876503, 0.14422374963760376, -0.008216645568609238, -0.024786507710814476, 0.12166780978441238, 0.07367880642414093, 0.04079114645719528, 0.001709725591354072, 0.0717538595199585, 0.06225665286183357, 0.028303328901529312, -0.03212837502360344, 0.04315854609012604, -0.09094081819057465, -0.17841625213623047, -0.12272199243307114, 0.020620226860046387, -0.12772375345230103, -0.054034918546676636, 0.015038344077765942, -0.08762215077877045, 0.11761882156133652, 0.05391291528940201, -0.09524206072092056, 0.05716646835207939, 0.24801722168922424, 0.07010111212730408, 0.0683453232049942, 0.1287175565958023, -0.05016634240746498, 0.07340993732213974, 0.11139780282974243, 0.01956411823630333, -0.03413822129368782, 0.0503104142844677, -0.07480157166719437, 0.11885850131511688, -0.09648948162794113, -0.04175000265240669, -0.11834551393985748, -0.08221063762903214, -0.09327901899814606, -0.09707821160554886, 0.06719362735748291, -0.13253094255924225, -0.1282794177532196, -0.011101355776190758, -0.023403793573379517, -0.052255187183618546, 0.040744390338659286, 0.1079486757516861, -0.04757974296808243, 0.13486267626285553, -0.16242004930973053, 0.0438217855989933, 0.01044649537652731, -0.12840361893177032, -0.032728929072618484, 0.014400919899344444, 0.0018236784962937236, -0.029697446152567863, -0.023872874677181244, -0.052159350365400314, -0.08782234787940979, -0.006052867043763399, 0.06495235860347748, -0.06278122961521149, -0.013091327622532845, -0.07977867871522903, -0.004708499647676945]"
Low.affinity.immunoglobulin.epsilon.Fc.receptor,"[-0.001527788583189249, -0.1259666532278061, 0.10296213626861572, 0.07199804484844208, 0.08705275505781174, 0.045713722705841064, -0.04735717922449112, 0.05851611867547035, -0.08907321840524673, -0.030055928975343704, 0.12469717860221863, 0.08243247121572495, -0.01721240021288395, -0.025184666737914085, 0.0378689244389534, 0.02115688845515251, 0.012142321094870567, 0.08275923132896423, -0.011657734401524067, -0.032037943601608276, 0.002264905022457242, 0.05121562257409096, -0.012479345314204693, -0.11136754602193832, -0.10644837468862534, -0.0313066691160202, -0.0799771323800087, 0.12840089201927185, 0.01951720006763935, -0.05008949339389801, 0.010055236518383026, 0.02111959084868431, 0.11393922567367554, 0.09334783256053925, 0.0171766746789217, 0.009650873951613903, 0.1979404091835022, -0.06261112540960312, 0.041799839586019516, 0.10160708427429199, -0.09841698408126831, 0.08015067875385284, 0.029667500406503677, -0.03224024921655655, 0.08510573208332062, 0.020364468917250633, -0.007787693757563829, -0.00646159378811717, -0.05863676220178604, 0.1274665892124176, 0.04123818501830101, 0.0634387657046318, 0.12432875484228134, 0.06567730009555817, -0.02188129350543022, 0.05484525114297867, 0.12413809448480606, -0.07198327034711838, -0.022195590659976006, 0.13154275715351105, 0.008253146894276142, 0.016845712438225746, 0.10873662680387497, 0.03798578679561615, 0.06319455802440643, -0.029234979301691055, 0.05271093547344208, 0.08020342141389847, 0.04207463935017586, -0.03033217042684555, 0.07440846413373947, -0.06297489255666733, -0.16751770675182343, -0.12962430715560913, 0.011125206016004086, -0.10321289300918579, -0.0399259552359581, 0.01523625385016203, -0.07100556790828705, 0.14792867004871368, 0.040514592081308365, -0.08808259665966034, 0.06120149418711662, 0.21779930591583252, 0.06238720193505287, 0.08053286373615265, 0.10558036714792252, -0.08678250759840012, 0.07855183631181717, 0.09981708973646164, 0.03302749991416931, -0.04609980061650276, 0.04915561527013779, -0.06598357856273651, 0.09325012564659119, -0.08052235841751099, -0.053978875279426575, -0.12009139358997345, -0.08932927995920181, -0.10670030862092972, -0.11079875379800797, 0.06764645129442215, -0.1499750167131424, -0.11573337763547897, -0.006903629284352064, -0.01621915027499199, -0.061875566840171814, 0.0010353319812566042, 0.09840301424264908, -0.05290038883686066, 0.12060759216547012, -0.1955985426902771, 0.04813064634799957, -0.0006367740570567548, -0.11889687925577164, -0.057592760771512985, 0.03323560580611229, 0.021046709269285202, -0.016231680288910866, -0.06047223508358002, -0.04788166657090187, -0.08643343299627304, -0.05072496458888054, 0.040602922439575195, -0.08460680395364761, 0.005517545621842146, -0.08977431803941727, 0.020304957404732704]"
Macrophage.mannose.receptor.1,"[0.004696293268352747, -0.1235770434141159, 0.11214005202054977, 0.12276806682348251, 0.09174064546823502, 0.054977864027023315, -0.07290922105312347, 0.06129463016986847, -0.09548979997634888, -0.04089334234595299, 0.10644099116325378, 0.09351634979248047, -0.016407117247581482, -0.027303870767354965, 0.021556086838245392, 0.04275331273674965, -0.04307602718472481, 0.08590041100978851, -0.011931546032428741, -0.010404589585959911, 0.03334672749042511, 0.03975241631269455, 0.01275678351521492, -0.13632920384407043, -0.07330194860696793, -0.04392000660300255, -0.09666189551353455, 0.13570047914981842, 0.03199978917837143, -0.04332863166928291, 0.02181307040154934, 0.018315045163035393, 0.12761227786540985, 0.09291349351406097, 0.026798218488693237, 0.0012132052797824144, 0.19508583843708038, -0.07586999982595444, 0.04311487451195717, 0.1211744174361229, -0.1141737848520279, 0.05995999276638031, 0.034939464181661606, -0.055970918387174606, 0.08982372283935547, 0.03449735417962074, 0.008249799720942974, -0.010348719544708729, -0.0676819309592247, 0.12201239913702011, 0.04767172038555145, 0.04995395243167877, 0.0853128433227539, 0.04737997055053711, -0.021497245877981186, 0.07384311407804489, 0.11634831130504608, -0.0862792357802391, -0.013740346767008305, 0.12745057046413422, -0.0007887856918387115, 0.009344286285340786, 0.11984540522098541, 0.05783950909972191, 0.026562558487057686, 0.0005375706241466105, 0.0980762168765068, 0.0713353157043457, 0.03788089007139206, -0.01848115585744381, 0.0660867914557457, -0.05391673743724823, -0.16061018407344818, -0.11221106350421906, 0.029783982783555984, -0.10355905443429947, -0.02035706676542759, 0.019419951364398003, -0.06968867033720016, 0.11844594031572342, 0.03846103698015213, -0.0986001268029213, 0.06750839203596115, 0.22166530787944794, 0.0470566600561142, 0.07344481348991394, 0.11062686145305634, -0.0417398102581501, 0.10098481923341751, 0.08991582691669464, 0.02220362052321434, -0.05774981155991554, 0.04895666241645813, -0.09581863135099411, 0.12401986867189407, -0.08656143397092819, -0.04721461609005928, -0.09887683391571045, -0.09460583329200745, -0.08092279732227325, -0.08588003367185593, 0.08259157836437225, -0.13633401691913605, -0.12089279294013977, -0.003612950909882784, -0.016715340316295624, -0.04509435221552849, 0.022889427840709686, 0.08413197845220566, -0.02209354192018509, 0.12555459141731262, -0.17352502048015594, 0.06643343716859818, -0.018793471157550812, -0.0964423194527626, -0.033475637435913086, 0.04749857261776924, 0.0189371220767498, -0.022529087960720062, -0.062027085572481155, -0.03956037759780884, -0.07993467897176743, -0.049044474959373474, 0.04999799653887749, -0.07911663502454758, 0.002025160240009427, -0.1051933690905571, 0.0027633127756416798]"
homostachydrine.,"[-0.006882543209940195, -0.1365269422531128, 0.10091548413038254, 0.1004558876156807, 0.11247865110635757, 0.04066753014922142, -0.04489092528820038, 0.09519627690315247, -0.09002506732940674, -0.02439580298960209, 0.11049100011587143, 0.0792422965168953, -0.005722890142351389, -0.017204271629452705, 0.039821527898311615, -0.006063176319003105, -0.0026000437792390585, 0.1041521430015564, -0.02880212850868702, -0.03264211490750313, -0.006322786677628756, 0.05417775362730026, -0.005039588548243046, -0.13563968241214752, -0.10271166265010834, -0.018519602715969086, -0.06923644244670868, 0.1311921626329422, 0.013253792189061642, -0.01820974610745907, 0.007448800373822451, 0.021759498864412308, 0.1206146776676178, 0.1117955818772316, 0.01769631914794445, 0.007675036322325468, 0.18935342133045197, -0.09028780460357666, 0.0208035409450531, 0.09465667605400085, -0.1218976303935051, 0.0960177555680275, 0.0313442200422287, -0.05226362124085426, 0.06394871324300766, 0.011678991839289665, -0.029304711148142815, 0.004657282959669828, -0.03250323235988617, 0.10100775212049484, 0.0496835894882679, 0.0687338262796402, 0.12636242806911469, 0.0773286446928978, -0.04078531265258789, 0.0635976791381836, 0.1062060222029686, -0.046900149434804916, -0.028508856892585754, 0.1263788789510727, 0.003902968717738986, 0.009523945860564709, 0.12664039433002472, 0.019275911152362823, 0.056059468537569046, -0.006368881091475487, 0.08076993376016617, 0.0667218565940857, 0.04181970655918121, -0.0494835339486599, 0.04505956545472145, -0.09182438254356384, -0.2053290605545044, -0.13364124298095703, 0.012528551742434502, -0.12370209395885468, -0.022456519305706024, -0.0031051593832671642, -0.09133099019527435, 0.12063071131706238, 0.04050467535853386, -0.0685238242149353, 0.07459978014230728, 0.23367708921432495, 0.0559007003903389, 0.07010262459516525, 0.13304205238819122, -0.07396695762872696, 0.06900563836097717, 0.10299981385469437, 0.052444178611040115, -0.03836556896567345, 0.02170262672007084, -0.061883263289928436, 0.09953151643276215, -0.08860226720571518, -0.048145636916160583, -0.1350918859243393, -0.07503609359264374, -0.0982188731431961, -0.10528814792633057, 0.040015943348407745, -0.10366363078355789, -0.10373439639806747, 0.007596330251544714, -0.00642384635284543, -0.06865774840116501, -0.010014751926064491, 0.1020696610212326, -0.054075777530670166, 0.13229604065418243, -0.16593573987483978, 0.03466193005442619, 0.005835255142301321, -0.09108443558216095, -0.025735929608345032, 0.012583058327436447, -0.01656903512775898, -0.029293425381183624, -0.043402887880802155, -0.062347810715436935, -0.06630659848451614, -0.011733826249837875, 0.0348019152879715, -0.060974910855293274, -0.014105420559644699, -0.09367787837982178, 0.0032415748573839664]"
N.acetylcarnosine,"[0.006428769323974848, -0.1558791846036911, 0.1107320487499237, 0.09837373346090317, 0.08616787195205688, 0.05297097936272621, -0.05905952304601669, 0.05460841581225395, -0.09832439571619034, -0.03506439924240112, 0.12171241641044617, 0.07347545027732849, 0.0018461444415152073, -0.009235408157110214, 0.03610346466302872, 0.032878030091524124, -0.027973312884569168, 0.06486881524324417, -0.030807336792349815, -0.045045673847198486, 0.0452544130384922, 0.029675990343093872, -0.019437754526734352, -0.14550960063934326, -0.08613928407430649, -0.03532593697309494, -0.0799739733338356, 0.11895115673542023, 0.02011440508067608, -0.014983386732637882, 0.010573714971542358, 0.018065182492136955, 0.11463883519172668, 0.09835641831159592, 0.029522866010665894, 0.0031182486563920975, 0.18051552772521973, -0.05636822432279587, 0.04716348275542259, 0.08206858485937119, -0.11177933216094971, 0.08741895854473114, 0.02587289921939373, -0.03256334364414215, 0.07115151733160019, 0.00933885294944048, -0.003204463515430689, -0.020977798849344254, -0.05819176882505417, 0.11265576630830765, 0.0400368832051754, 0.03634721040725708, 0.10831043124198914, 0.05724089592695236, -0.03516468405723572, 0.0587959848344326, 0.08248811960220337, -0.06148906424641609, -0.043766044080257416, 0.1331910341978073, -0.00055594218429178, 0.01889212429523468, 0.11522476375102997, 0.018785538151860237, 0.03212367370724678, -0.013807264156639576, 0.05642589554190636, 0.07793492823839188, 0.06387448310852051, -0.031162546947598457, 0.05051314830780029, -0.0880674347281456, -0.17424681782722473, -0.10578310489654541, 0.0009054424008354545, -0.09965594112873077, -0.04395237937569618, -0.007367412559688091, -0.0783638060092926, 0.1342761516571045, 0.05242093279957771, -0.08004733175039291, 0.08896338939666748, 0.2542555630207062, 0.062416236847639084, 0.07611791789531708, 0.10984212160110474, -0.08266159147024155, 0.07970944046974182, 0.03688102960586548, 0.05176296457648277, -0.05418531596660614, 0.03435908257961273, -0.0711207315325737, 0.1175936609506607, -0.08928628265857697, -0.023990929126739502, -0.09388749301433563, -0.10357224196195602, -0.11884862929582596, -0.09443745762109756, 0.08118642866611481, -0.14134278893470764, -0.11437924206256866, -0.008668112568557262, -0.02336471527814865, -0.059267304837703705, 0.000782011600676924, 0.11184858530759811, -0.05788159370422363, 0.13982021808624268, -0.18015646934509277, 0.056580375880002975, -0.023418108001351357, -0.10836755484342575, -0.026661893352866173, 0.024193329736590385, -0.005321722012013197, -0.03392017260193825, -0.0702531486749649, -0.052595820277929306, -0.0738205835223198, -0.054886363446712494, 0.054862890392541885, -0.06769300252199173, 0.012942833825945854, -0.09382157027721405, -0.001969955861568451]"
glycolithocholate.sulfate.,"[0.0029886276461184025, -0.11172041296958923, 0.12564429640769958, 0.08184190839529037, 0.098007433116436, 0.033195722848176956, -0.051920488476753235, 0.08541254699230194, -0.0742080882191658, -0.0189110916107893, 0.11728018522262573, 0.0768268033862114, 0.0066805086098611355, -0.028922773897647858, 0.01676708646118641, 0.03225962072610855, -0.019490037113428116, 0.10228822380304337, -0.02107662707567215, -0.029019420966506004, 0.033878177404403687, 0.03745705634355545, 0.015033739618957043, -0.139463871717453, -0.08520447462797165, -0.04154714569449425, -0.05852091312408447, 0.14357782900333405, 0.012431289069354534, 0.009126059710979462, 0.0071699973195791245, -0.009100336581468582, 0.08338157087564468, 0.09447512030601501, 0.01159766223281622, 0.015084533952176571, 0.18473686277866364, -0.05246618390083313, 0.045544594526290894, 0.0640256330370903, -0.10600803792476654, 0.06762230396270752, 0.04267674311995506, -0.061003684997558594, 0.05775381624698639, 0.011108040809631348, -0.00958689209073782, -0.014485752210021019, -0.054262008517980576, 0.11316186189651489, 0.03825625777244568, 0.042179398238658905, 0.1162596344947815, 0.0735684260725975, -0.03685019537806511, 0.06346823275089264, 0.11388352513313293, -0.07130986452102661, -0.02850044146180153, 0.13176672160625458, -0.008908087387681007, 0.03313184529542923, 0.1155911311507225, -0.0020645982585847378, 0.03437825292348862, -0.02930441126227379, 0.07653386145830154, 0.0459500327706337, 0.03425181284546852, -0.0160047747194767, 0.03717920556664467, -0.07477165758609772, -0.19060549139976501, -0.1198970153927803, -0.009864521212875843, -0.1303141862154007, -0.00843727495521307, 0.009369518607854843, -0.08028742671012878, 0.14772319793701172, 0.04173344373703003, -0.05580061674118042, 0.07844029366970062, 0.2732104957103729, 0.07128165662288666, 0.0921563059091568, 0.14660921692848206, -0.09163331985473633, 0.09381222724914551, 0.0831167995929718, 0.0481998473405838, -0.08152785152196884, 0.016648022457957268, -0.06589441746473312, 0.11092713475227356, -0.10199040919542313, -0.04918034002184868, -0.11058524250984192, -0.11432086676359177, -0.0762154683470726, -0.11203151941299438, 0.06869606673717499, -0.10755636543035507, -0.11362418532371521, 0.009110648185014725, -0.006643421947956085, -0.05312444269657135, -0.023386061191558838, 0.07732884585857391, -0.06711582839488983, 0.12538141012191772, -0.18410682678222656, 0.02919614687561989, -0.016241658478975296, -0.0695483535528183, -0.022983713075518608, 0.027218006551265717, 0.011889150366187096, -0.034225694835186005, -0.08450630307197571, -0.06642726063728333, -0.06383641064167023, -0.05791977047920227, 0.019889000803232193, -0.060943566262722015, -0.01032793615013361, -0.13264530897140503, -0.009929162450134754]"
