node,embedding
X3.phenylpropionate..hydrocinnamate.,"[0.005868003237992525, 0.016464335843920708, -0.06125107780098915, 0.16639550030231476, 0.18042287230491638, -0.02522309683263302, 0.11746490746736526, -0.03526246175169945, -0.08415389060974121, 0.17488954961299896, 0.037925172597169876, 0.07398638874292374, -0.005211119074374437, -0.0487525574862957, 0.025042617693543434, 0.049157340079545975, -0.15821486711502075, -0.044976912438869476, 0.0112966513261199, 0.16588865220546722, 0.07805705070495605, 0.07182877510786057, -0.004409578163176775, -0.28661397099494934, -0.20061007142066956, 0.046556469053030014, -0.1611371487379074, -0.017199546098709106, 0.04538695886731148, -0.11759968847036362, -0.03260247781872749, -0.028325045481324196, -0.026163380593061447, -0.006213257554918528, -0.05090651661157608, 0.06164316087961197, 0.06618297100067139, -0.0017813349841162562, 0.055592820048332214, -0.04952665790915489, -0.0740416944026947, 0.0009041649755090475, -0.028258148580789566, -0.07585509121417999, 0.1388482302427292, 0.11225465685129166, -0.1727103888988495, -0.035713959485292435, 0.0071283807046711445, 0.0641358345746994, 0.10854225605726242, 0.10009494423866272, -0.011511912569403648, 0.030041202902793884, -0.003000586526468396, -0.0236713495105505, 0.1710766702890396, -0.0345202311873436, -0.004441745579242706, -0.09848574548959732, 0.00321085168980062, 0.023345859721302986, 0.03920099511742592, 0.10933844745159149, 0.07542720437049866, -0.10117732733488083, 0.006193629465997219, 0.13080832362174988, -0.04457549378275871, -0.14720652997493744, 0.0035817185416817665, -0.05402514711022377, -0.08832709491252899, 0.01583171635866165, -0.062428779900074005, -0.049233611673116684, -0.007060591131448746, -0.07593229413032532, -0.07224258780479431, 0.08640093356370926, -0.0690125897526741, 0.0801624059677124, -0.029240848496556282, 0.04363144561648369, 0.02184678427875042, 0.11563555151224136, 0.0481480173766613, -0.06623582541942596, 0.024028263986110687, -0.14370115101337433, -0.038418322801589966, 0.021236810833215714, 0.09454067051410675, 0.017825471237301826, 0.047902077436447144, 0.03479796275496483, 0.060278624296188354, 0.018210170790553093, -0.07349871098995209, 0.024575501680374146, -0.11889495700597763, 0.07930144667625427, -0.13048307597637177, 0.0034156532492488623, 0.012778476811945438, -0.0338984876871109, 0.024303358048200607, 0.05466260761022568, 0.06870777159929276, -0.05596128851175308, 0.0554322712123394, -0.06151438131928444, -0.06896086782217026, -0.061557017266750336, -0.10179653763771057, 0.06122364103794098, 0.030689986422657967, -0.02077714540064335, 0.09089341759681702, 0.037681806832551956, -0.13789308071136475, -0.10429448634386063, -0.07213148474693298, -0.07231102883815765, -0.16579194366931915, -0.1415863335132599, -0.047528449445962906, -0.030661173164844513]"
X1.stearoyl.2.linoleoyl.GPE..18.0.18.2..,"[0.0026299094315618277, 0.0740513950586319, 0.05209987238049507, 0.09944844245910645, 0.06573549658060074, 0.05384095758199692, 0.09398571401834488, -0.021651696413755417, -0.11551998555660248, 0.15258368849754333, 0.02892518788576126, 0.009339763782918453, 0.02893439680337906, -0.1940782368183136, 0.13257811963558197, 0.054362595081329346, -0.023139068856835365, -0.03178439661860466, 0.04198287054896355, 0.048689864575862885, -0.013058035634458065, 0.12556304037570953, 0.0033411728218197823, -0.136239692568779, -0.16927947103977203, 0.12085235863924026, -0.11725887656211853, 0.017463883385062218, 0.026257408782839775, 0.0017933390336111188, 0.034237347543239594, 0.11413852870464325, -0.023723749443888664, 0.07430008053779602, -0.09541492909193039, 0.13003288209438324, 0.04197898507118225, -0.08109398931264877, -0.0001968967990251258, -0.010149411857128143, -0.12509004771709442, 0.02102484367787838, -0.06996677070856094, -0.1034468486905098, 0.10125699639320374, 0.055862247943878174, -0.14381782710552216, -0.043589141219854355, -0.04760860279202461, 0.11720062047243118, 0.125416561961174, 0.08746971189975739, 0.0009302251855842769, 0.06725724786520004, 0.03964730724692345, -0.0627303421497345, 0.12268166989088058, -0.0031042592599987984, -0.1295059323310852, -0.176348015666008, -0.11598217487335205, 0.049052949994802475, 0.09699474275112152, 0.06578923016786575, 0.04417087882757187, -0.13845016062259674, 0.13419848680496216, 0.01923045702278614, 0.02627979964017868, -0.09263758361339569, 0.021135706454515457, -0.01217302493751049, -0.07338821142911911, -0.006912225857377052, -0.061727676540613174, -0.005037103779613972, -0.11330673098564148, -0.018945546820759773, -0.16077642142772675, 0.09635129570960999, -0.10993362218141556, 0.0228324756026268, -0.059092987328767776, 0.08923935890197754, 0.14452828466892242, 0.011401405557990074, 0.05912807956337929, -0.024513671174645424, 0.11135274171829224, 0.03466111049056053, -0.10057344287633896, -0.05563848093152046, 0.03710142523050308, -0.040500935167074203, 0.09904312342405319, 0.06408390402793884, 0.0008169377106241882, -0.05813467502593994, -0.06577672064304352, 0.02078447863459587, -0.03140215948224068, 0.10053932666778564, 0.025915969163179398, 0.09495348483324051, 0.10892225801944733, 0.04498093202710152, -0.04355138912796974, 0.026235613971948624, 0.016032131388783455, 0.03180766478180885, 0.10095540434122086, -0.0628519207239151, -0.04953017085790634, -0.0420510396361351, -0.07935524731874466, 0.10380508750677109, -0.11303120851516724, -0.05275880917906761, 0.07564423978328705, -0.007781066000461578, -0.12507402896881104, -0.0760335922241211, -0.017368650063872337, -0.009575656615197659, -0.06549467891454697, -0.12057777494192123, -0.09194836765527725, -0.038724735379219055]"
lithocholate.sulfate..1.,"[0.017560020089149475, 0.026173060759902, -0.03535928577184677, 0.06421433389186859, 0.038276150822639465, 0.003722879569977522, 0.17562143504619598, -0.04675593599677086, -0.01081730518490076, 0.13363593816757202, 0.1058112382888794, 0.012674570083618164, -0.025230618193745613, -0.10896944254636765, 0.02528895065188408, 0.012129632756114006, -0.05402109771966934, -0.0025277945678681135, -0.04367384314537048, 0.0009902368765324354, 0.012792743742465973, 0.05585779622197151, -0.03159894421696663, -0.12486222386360168, -0.19929197430610657, -0.02683178335428238, -0.09119275212287903, -0.012503081932663918, 0.026065636426210403, -0.1014409214258194, -0.020200403407216072, -0.03730284050107002, -0.02734450250864029, -0.012230096384882927, -0.055729858577251434, 0.0841611921787262, 0.043523628264665604, -0.0819074958562851, 0.0271769966930151, 0.03365666791796684, 0.013610955327749252, 0.003883495694026351, 0.010127314366400242, -0.11559374630451202, 0.09029534459114075, 0.07016842067241669, -0.12191768735647202, -0.043288715183734894, 0.00802913773804903, 0.12346791476011276, 0.1779680699110031, 0.17005383968353271, -0.0634395033121109, 0.013270851224660873, -0.06483856588602066, 0.046877555549144745, 0.06681539118289948, -0.008350635878741741, -0.0907231941819191, -0.06076594814658165, -0.17044249176979065, 0.14469558000564575, 0.05980437994003296, 0.14028434455394745, 0.0919773206114769, -0.07393462210893631, 0.07832976430654526, 0.025849012657999992, -0.0615382082760334, -0.1291780024766922, 0.03925544023513794, 0.029365090653300285, -0.1296726018190384, 0.022760197520256042, 0.05581750348210335, 0.037231046706438065, -0.09726539254188538, -0.01057039387524128, -0.02732894942164421, 0.14958052337169647, 0.029741209000349045, -0.019379012286663055, -0.06849317252635956, 0.17923381924629211, 0.026922987774014473, 0.09243477135896683, 0.1252998411655426, -0.04455762356519699, 0.07743746042251587, 0.035515520721673965, -0.05089263245463371, -0.02507718838751316, 0.017362473532557487, -0.0034625395201146603, 0.07791228592395782, 0.10953142493963242, 0.03897194564342499, -0.03535245358943939, -0.1068301871418953, -0.03914031758904457, 0.019059674814343452, -0.022889362648129463, -0.026804661378264427, 0.04780330881476402, 0.08985298871994019, 0.008363503962755203, 0.10329935699701309, 0.09117750823497772, 0.09061834216117859, 0.03097725845873356, 0.07525481283664703, -0.04320356249809265, -0.03692377731204033, -0.07371994107961655, -0.1704862415790558, 0.08313553780317307, -0.05011694133281708, -0.06619676947593689, 0.052619557827711105, -0.01928313821554184, -0.11131525039672852, -0.045972779393196106, -0.026029255241155624, -0.09650769084692001, -0.022855905815958977, -0.16885043680667877, -0.09959835559129715, -0.042413096874952316]"
myristoylcarnitine..C14.,"[0.0251475777477026, -0.019437111914157867, -0.047350186854600906, 0.04377822205424309, -0.08789599686861038, -0.024135539308190346, 0.10117054730653763, -0.022886350750923157, 0.04614071920514107, 0.16335105895996094, 0.08690808713436127, -0.04900158941745758, -0.005863327998667955, -0.14339695870876312, 0.09296988695859909, 0.05694190785288811, -0.13627704977989197, -0.023351820185780525, -0.12248826771974564, 0.021167684346437454, 0.019368542358279228, 0.07111544162034988, -0.043805889785289764, -0.20596939325332642, -0.15240707993507385, 0.04925822094082832, -0.12704326212406158, 0.007551087997853756, 0.041681788861751556, -0.06592506915330887, 0.06524141877889633, -0.0548626072704792, -0.08957028388977051, -0.009429948404431343, -0.0754072517156601, 0.16557012498378754, 0.14752686023712158, -0.10590661317110062, 0.12336079031229019, 0.016204288229346275, -0.05711037293076515, 0.06869173794984818, -0.05516861379146576, -0.1422688215970993, 0.03784739226102829, 0.02278527058660984, -0.09061211347579956, -0.10417772084474564, -0.04536779224872589, 0.07930455356836319, 0.16839952766895294, 0.025343339890241623, 0.028956780210137367, 0.05990121141076088, -0.0064081838354468346, -0.013470831327140331, 0.05238102003931999, -0.028502019122242928, -0.16229330003261566, -0.05495782941579819, -0.0914967954158783, 0.052554111927747726, 0.005123996641486883, 0.0769345611333847, 0.10571107268333435, -0.07864875346422195, 0.0836465135216713, 0.05120174586772919, 0.000606041110586375, -0.13096120953559875, 0.10901479423046112, -0.07567226141691208, -0.1417349874973297, -0.04598493129014969, 0.02842823415994644, -0.02461174689233303, -0.01603522337973118, 0.031039094552397728, -0.08581772446632385, 0.11025992780923843, 0.03961216285824776, -0.005680828355252743, -0.02459634095430374, 0.18028222024440765, 0.0784790888428688, 0.14864538609981537, 0.07085827738046646, -0.0374935120344162, 0.1113564521074295, -0.02515467442572117, -0.021743973717093468, 0.07244701683521271, 0.022782351821660995, 0.026470337063074112, 0.13440589606761932, -0.002398415468633175, -0.017456533387303352, -0.1185692697763443, -0.12525779008865356, -0.11065973341464996, -0.013967111706733704, -0.008183951489627361, -0.011998480185866356, -0.022303152829408646, 0.05874939635396004, 0.04401938617229462, 0.06284282356500626, -0.03638781979680061, 0.10248808562755585, -0.00626033591106534, 0.10389155149459839, 0.05499311909079552, -0.07555121183395386, 0.03913704305887222, -0.09546100348234177, 0.08787893503904343, -0.05027420073747635, -0.07394198328256607, 0.0054745725356042385, 0.017550498247146606, -0.062039125710725784, -0.10027944296598434, -0.009950678795576096, -0.005949357990175486, -0.19189350306987762, -0.05493176355957985, 0.026026301085948944, -0.08912929147481918]"
laurylcarnitine..C12.,"[0.03545621037483215, 0.05909612774848938, -0.10635700821876526, 0.05616475269198418, 0.046844370663166046, 0.026965903118252754, 0.09373779594898224, -0.0659320205450058, -0.042729150503873825, 0.013546167872846127, 0.028694506734609604, 0.09171691536903381, -0.045212529599666595, -0.03189843147993088, 0.07570450007915497, 0.06535639613866806, -0.10168126970529556, 0.029036659747362137, -0.0615999735891819, 0.0366973914206028, -0.08282129466533661, 0.024056876078248024, -0.03308715671300888, -0.1631564348936081, -0.09565026313066483, 0.07420496642589569, -0.11917716264724731, -0.0626308023929596, 0.11220993846654892, -0.08893215656280518, -0.05233912542462349, -0.004400323145091534, 0.007776293437927961, 0.04838186502456665, 0.025008874014019966, 0.1433061808347702, 0.10651568323373795, -0.028863752260804176, 0.060854651033878326, -0.010450967587530613, -0.015598505735397339, -0.0009930557571351528, -0.07703407108783722, -0.07729282975196838, 0.06065590679645538, 0.021775055676698685, -0.17592987418174744, -0.028608577325940132, -0.08849430084228516, 0.10640227049589157, 0.10188812762498856, 0.024868076667189598, 0.0746995210647583, 0.019732456654310226, -0.06047796085476875, -0.027996448799967766, 0.08668165653944016, -0.0034166937693953514, -0.03156585246324539, -0.04862537235021591, -0.11467830836772919, 0.17054606974124908, 0.09684237837791443, 0.11848759651184082, -0.012878365814685822, -0.07615520805120468, 0.02754877135157585, 0.08876118808984756, 0.01771361753344536, -0.15354694426059723, 0.024926142767071724, -0.018822913989424706, -0.09975429624319077, -0.039960142225027084, -0.008948490023612976, 0.17789214849472046, -0.12275534868240356, 0.07344819605350494, -0.13460484147071838, 0.029754893854260445, -0.010518827475607395, -0.044757284224033356, 0.032135989516973495, 0.22260259091854095, 0.0601571761071682, 0.04446450620889664, 0.08809428662061691, -0.0028895665891468525, 0.11761481314897537, 0.007924378849565983, -0.043651264160871506, -0.05226214975118637, 0.03892654553055763, -0.02594364807009697, 0.1287533938884735, 0.09815061092376709, 0.02494884468615055, -0.004943040665239096, -0.09470027685165405, -0.018712183460593224, 0.04383194446563721, 0.0486094206571579, -0.07684095203876495, -0.02801905944943428, 0.0955190509557724, -0.026789570227265358, 0.045602183789014816, 0.032100286334753036, 0.07343849539756775, 0.04201695695519447, 0.021981263533234596, -0.035531528294086456, 0.012207621708512306, -0.0317540317773819, -0.07039448618888855, -0.04018134996294975, -0.006689818575978279, -0.14819437265396118, -0.017007313668727875, 0.09781826287508011, -0.10458046942949295, -0.0964471772313118, -0.09860613197088242, -0.028981534764170647, -0.09970110654830933, -0.2127426564693451, -0.12365424633026123, -0.05369732901453972]"
Apolipoprotein.A.I,"[0.039877861738204956, 0.028837500140070915, -0.048627693206071854, 0.06959392875432968, 0.10624973475933075, 0.018909821286797523, 0.13009744882583618, -0.10905516892671585, -0.05070080980658531, 0.1845637410879135, 0.047609586268663406, 0.031307071447372437, 0.0007875502924434841, 0.02670609951019287, -0.05792741850018501, 0.045298073440790176, -0.06432169675827026, -0.011123529635369778, -0.12358377128839493, 0.0590597502887249, -0.013823282904922962, 0.08213513344526291, -0.056582193821668625, -0.21886524558067322, -0.19066539406776428, 0.07438575476408005, -0.12576501071453094, 0.0476694218814373, 0.07243596762418747, -0.07111961394548416, -0.08200110495090485, 0.03940695896744728, 0.048300519585609436, 0.04021730646491051, -0.08927012234926224, 0.15856638550758362, 0.11256832629442215, -0.03621760383248329, 0.043528962880373, -0.00807780958712101, -0.08073824644088745, 0.07062924653291702, -0.004761119838804007, -0.06703521311283112, 0.13816124200820923, 0.1178947389125824, -0.13229456543922424, -0.031125882640480995, -0.19624437391757965, 0.04191146418452263, 0.10637024790048599, 0.11890509724617004, 0.008510653860867023, -0.058313291519880295, -0.04689909145236015, 0.005397549830377102, 0.14924749732017517, -0.026773255318403244, -0.02012975700199604, -0.019688237458467484, -0.028738467022776604, 0.10990435630083084, 0.04485132545232773, 0.11880618333816528, -0.03549141064286232, -0.021382607519626617, 0.037057023495435715, -0.05767713487148285, -0.063540518283844, -0.10400339961051941, 0.058875273913145065, -0.003998239524662495, -0.032713498920202255, 0.03505699709057808, -0.02335888147354126, 0.021781710907816887, -0.026942351832985878, -0.03855489566922188, -0.2200772613286972, 0.035488009452819824, -0.11235252767801285, -0.008751364424824715, 0.002994419541209936, 0.07954135537147522, 0.010440044105052948, 0.11083473265171051, 0.05085701867938042, -0.010274779982864857, 0.04796808585524559, -0.047197431325912476, -0.11784419417381287, -0.04804011806845665, 0.023711688816547394, 0.015603411011397839, 0.1939026415348053, 0.07062317430973053, -0.004485942889004946, -0.09632488340139389, -0.1447359323501587, -0.01278641726821661, 0.02897186391055584, 0.016942067071795464, -0.09987630695104599, 0.057327184826135635, 0.09436643123626709, 0.03427103906869888, 0.044904675334692, 0.008336272090673447, 0.11048733443021774, 0.05848754569888115, 0.0494873933494091, -0.0559389553964138, -0.03660685941576958, -0.07860682159662247, -0.13028062880039215, 0.09588593244552612, -0.12023833394050598, -0.09020289033651352, 0.005418588872998953, 0.12652747333049774, -0.02412666380405426, -0.07596373558044434, -0.05467133969068527, 0.002370763337239623, -0.07605020701885223, -0.16909147799015045, -0.13108038902282715, -0.09094087034463882]"
X1.stearoyl.GPI..18.0.,"[0.07404158264398575, 0.010812940075993538, 0.06253974884748459, 0.12006299197673798, -0.016558418050408363, 0.015840258449316025, 0.04415547475218773, 0.01707444339990616, 0.0027999901212751865, 0.08874236792325974, 0.08153392374515533, -0.0066244713962078094, 0.004412985872477293, -0.16084691882133484, 0.03493652120232582, 0.01394606102257967, -0.06426969170570374, 0.004924474749714136, -0.06708172708749771, 0.0855240598320961, 0.029897037893533707, 0.046163372695446014, -0.03320705518126488, -0.24085430800914764, -0.19863970577716827, 0.06405917555093765, -0.13381509482860565, -0.05292138457298279, 0.024987762793898582, -0.07740413397550583, -0.040902405977249146, 0.03950062394142151, 0.006131390575319529, 0.04225597158074379, -0.056451838463544846, 0.17058250308036804, 0.12141367048025131, -0.054056521505117416, 0.02504679374396801, -0.01763870194554329, -0.06842659413814545, 0.07228637486696243, -0.011694087646901608, -0.13142029941082, 0.0571138821542263, 0.010932686738669872, -0.04145987331867218, -0.1056746169924736, -0.0523480623960495, 0.0913110002875328, 0.07626379281282425, 0.046501703560352325, 0.031883735209703445, 0.03877735882997513, 0.04075659438967705, -0.012935374863445759, 0.11725715547800064, -0.0016013208078220487, -0.10879654437303543, -0.20472575724124908, -0.11159215122461319, 0.10635142028331757, 0.07339036464691162, 0.03660351783037186, 0.1493547111749649, -0.053828101605176926, 0.12511566281318665, -0.007830329239368439, -0.023939907550811768, -0.11899342387914658, 0.0025106053799390793, -0.02500924840569496, -0.14188240468502045, 0.04491286352276802, 0.008545042015612125, 0.02741634100675583, -0.08597681671380997, 0.005801267456263304, -0.09710051864385605, 0.09125324338674545, -0.023412425071001053, -0.004575568716973066, -0.04748360812664032, 0.1786126345396042, 0.17830339074134827, 0.11854693293571472, 0.10104458779096603, -0.04293055459856987, 0.11230382323265076, 0.006515194661915302, -0.05445857346057892, -0.03439860790967941, 0.02914266474545002, -0.053425997495651245, 0.08085570484399796, 0.18435874581336975, 0.02150968834757805, -0.02142726443707943, 0.014607609249651432, -0.06743202358484268, -0.001316086039878428, -0.018381601199507713, -0.06644763052463531, 0.05942445993423462, 0.09722132980823517, 0.06975188851356506, 0.036153003573417664, 0.07164881378412247, 0.02710164338350296, -0.0014942195266485214, 0.13736630976200104, -0.004597702994942665, -0.007081746123731136, -0.06669223308563232, 0.0004224684671498835, 0.06236913427710533, -0.02351192943751812, -0.1234116330742836, 0.10168550163507462, -0.03732096403837204, -0.07160543650388718, -0.06685987859964371, -0.036452408879995346, -0.04502547159790993, -0.046914275735616684, -0.04871439188718796, 0.036115165799856186, -0.06515855342149734]"
Coagulation.factor.Xa,"[0.10912008583545685, 0.03769907355308533, -0.05543599650263786, 0.07839398831129074, 0.015026028268039227, -0.08544009923934937, 0.0971226841211319, 0.025082120671868324, 0.018464334309101105, 0.1081467792391777, 0.04492853954434395, 0.023068899288773537, 0.04634762555360794, -0.17173828184604645, -0.009066211059689522, 0.08987941592931747, -0.16131046414375305, 0.012215529568493366, -0.033840857446193695, 0.09255806356668472, 0.03621552139520645, 0.08573830872774124, -0.10174916684627533, -0.1281086504459381, -0.15258030593395233, 0.16146104037761688, -0.24244533479213715, -0.07641363143920898, 0.07587911188602448, -0.12442860752344131, -0.07187822461128235, 0.08010286092758179, -0.0515713095664978, 0.017049208283424377, -0.017244966700673103, 0.14381544291973114, 0.03952275961637497, -0.08220091462135315, 0.05511804297566414, 0.035500384867191315, -0.012936483137309551, 0.09578648954629898, -0.0723862424492836, -0.14764530956745148, 0.13477978110313416, -0.008996726013720036, -0.16718646883964539, -0.06652176380157471, 0.0055414484813809395, 0.10225751250982285, 0.027121802791953087, 0.11544323712587357, -0.007087744772434235, -0.02877221256494522, -0.10851337015628815, -0.06697764992713928, 0.06401792913675308, 0.010976062156260014, -0.07878637313842773, -0.03953014314174652, -0.10243867337703705, 0.09072700887918472, 0.028824396431446075, 0.08739428967237473, 0.003818702418357134, -0.026457054540514946, -0.00500914640724659, 0.013027934357523918, -0.00889531895518303, -0.09302981197834015, 0.025636965408921242, -0.10259281098842621, -0.08166752755641937, -0.01844828762114048, 0.04168344661593437, -0.010856294073164463, -0.0451592355966568, -0.07114984095096588, -0.04394330829381943, -0.020431166514754295, -0.08722175657749176, -0.008822748437523842, -0.02784755453467369, 0.0763588696718216, 0.09434466809034348, 0.009097098372876644, 0.062858946621418, -0.049587398767471313, 0.16198107600212097, 0.020723523572087288, -0.0653446689248085, -0.033945828676223755, 0.12335731089115143, 0.020125612616539, 0.11864963173866272, 0.22415591776371002, -0.025854066014289856, -0.04363594204187393, -0.08024989813566208, -0.06625202298164368, -0.1728207916021347, -0.04934348165988922, -0.05080876499414444, 0.03376944363117218, 0.09305963665246964, -0.0041695223189890385, -0.03632719814777374, -0.04396860674023628, 0.08980339020490646, -0.030052708461880684, 0.06122638285160065, -0.07335708290338516, -0.01155201904475689, -0.02178136818110943, -0.032902300357818604, 0.021918626502156258, -0.05969395861029625, -0.04711838439106941, 0.008061830885708332, 0.034402891993522644, -0.04934793710708618, -0.059176620095968246, -0.03288821503520012, -0.026581835001707077, -0.0988803505897522, -0.19568471610546112, -0.040613140910863876, -0.010849528945982456]"
X...15469,"[-0.10025336593389511, 0.022174231708049774, -0.041328899562358856, -0.03588341921567917, 0.02814902365207672, -0.1203814372420311, 0.05116177350282669, -0.06601247191429138, 0.06184094771742821, 0.06539714336395264, 0.09928080439567566, 0.03541425243020058, 0.07458946853876114, -0.08827176690101624, 0.09400337934494019, -0.03294480964541435, -0.18373097479343414, -0.028337080031633377, 0.0991542711853981, 0.033046234399080276, 0.05160918086767197, 0.1698552966117859, -0.008397754281759262, -0.2814840078353882, -0.17265522480010986, 0.09144295752048492, -0.11510015279054642, -0.03064006008207798, 0.02526971884071827, -0.07584027945995331, 0.0688372552394867, 0.01908745802938938, -0.09884658455848694, 0.05685266852378845, -0.05051177740097046, 0.16098280251026154, 0.014436271041631699, -0.08766160160303116, 0.01919493079185486, 0.08743841201066971, 0.022888485342264175, 0.04367384314537048, -0.07738511264324188, -0.1332094967365265, 0.1551089584827423, 0.056559037417173386, -0.21621862053871155, -0.10577799379825592, -0.04657798260450363, 0.1586318165063858, 0.16581763327121735, 0.03763415664434433, 0.0048291366547346115, 0.06566066294908524, 0.03576401248574257, -0.06740152835845947, 0.06797100603580475, 0.01855938881635666, -0.08563828468322754, -0.08156655728816986, -0.16745440661907196, 0.2244531810283661, 0.026343554258346558, 0.035274457186460495, 0.06453774869441986, -0.052639685571193695, 0.03977573662996292, 0.0697031244635582, -0.018787594512104988, -0.03930789604783058, 0.058723751455545425, 0.017715180292725563, -0.08514944463968277, -0.023622380569577217, 0.041070397943258286, 0.02491692081093788, -0.03727874532341957, 0.032542888075113297, -0.044369183480739594, 0.21924154460430145, 0.06801672279834747, -0.03049647994339466, -0.01989384926855564, 0.09392235428094864, -0.009408590383827686, -0.1147397980093956, 0.09035975486040115, -0.05497518181800842, -0.033363040536642075, 0.09938723593950272, -0.037030912935733795, -0.060258518904447556, 0.036378711462020874, -0.04246743395924568, 0.051183540374040604, 0.04623972624540329, 0.048341311514377594, -0.1438448429107666, -0.06654363125562668, -0.05308295786380768, 0.0008606535848230124, -0.04707925766706467, -0.05793440341949463, 0.05377067252993584, 0.13580447435379028, -0.02385399118065834, -0.005920770578086376, -0.1355375200510025, 0.08595440536737442, 0.05139520764350891, 0.04797189682722092, 0.08974707126617432, 0.0487540178000927, -0.021987000480294228, -0.13876605033874512, 0.0190763957798481, -0.04126792773604393, -0.06395100802183151, 0.027901746332645416, 0.06495453417301178, -0.1602458357810974, -0.0336943157017231, -0.0720265656709671, 0.003640285227447748, -0.08785752207040787, -0.1032298356294632, -0.08941411972045898, -0.012968562543392181]"
valine,"[-0.01925603672862053, 0.02501179650425911, -0.10994915664196014, 0.09432164579629898, 0.03345762565732002, -0.013732755556702614, 0.13656195998191833, -0.12711119651794434, -0.030671153217554092, 0.0972340926527977, 0.17006316781044006, 0.14154964685440063, -0.009455644525587559, -0.10045457631349564, 0.06437181681394577, -0.035459425300359726, -0.12221141904592514, 0.007342083845287561, -0.03104783408343792, 0.05707155540585518, 0.02461818791925907, 0.09490007162094116, -0.0008191901142708957, -0.19199493527412415, -0.12098395079374313, 0.00853259302675724, -0.023901186883449554, -0.03700839355587959, 0.03318227455019951, -0.1383437216281891, 0.012009341269731522, -0.09686320275068283, 0.009424302726984024, 0.04574721306562424, -0.058883991092443466, 0.04249705746769905, 0.11548088490962982, -0.13183270394802094, 0.010440710000693798, -0.015582502819597721, -0.05599706992506981, 0.10409419238567352, 0.04848458990454674, -0.07653723657131195, 0.04429907724261284, 0.05620313435792923, -0.19776202738285065, -0.05773371085524559, -0.06045727804303169, 0.15652289986610413, 0.09414136409759521, 0.07148036360740662, 0.02078164555132389, 0.1310824751853943, 0.013642316684126854, -0.02625475637614727, 0.11124265938997269, -0.07758276164531708, -0.038867440074682236, -0.12834209203720093, -0.04031670466065407, 0.14114747941493988, 0.024540985003113747, -0.0370565764605999, 0.048239901661872864, -0.005632465705275536, 0.12458153814077377, 0.033758990466594696, -0.03499143570661545, 0.021962560713291168, 0.03320639953017235, -0.03487720713019371, -0.17686226963996887, 0.06454956531524658, -0.03770841285586357, 0.03787323459982872, -0.046467289328575134, -0.060798756778240204, -0.17619992792606354, 0.14864329993724823, -0.04032547026872635, -0.0076695592142641544, -0.006642278749495745, 0.12342535704374313, 0.09099066257476807, 0.01806592382490635, 0.12783955037593842, -0.1521105021238327, 0.04680992290377617, 0.0005159821012057364, -0.02222449518740177, -0.07867468893527985, 0.11115215718746185, -0.10091576725244522, 0.048604659736156464, 0.14918944239616394, 0.14733868837356567, -0.10030896961688995, -0.04429160803556442, -0.06768082827329636, -0.014761894941329956, -0.04987296462059021, -0.09537697583436966, 0.05091370269656181, 0.02270093746483326, -0.043636295944452286, 0.01067727617919445, 0.08223854005336761, 0.06617189198732376, -0.05228738114237785, 0.09558036178350449, -0.04626566171646118, 0.01835072971880436, -0.017349112778902054, -0.011486467905342579, 0.04557190090417862, 0.02210521511733532, -0.10190371423959732, 0.0363209992647171, -0.024593321606516838, -0.12620945274829865, -0.06791031360626221, -0.0703955739736557, -0.09082280099391937, -0.0001730582007439807, -0.1614786982536316, 0.04276667535305023, -0.1114184632897377]"
