"","ENSG00000277146.1","ENSG00000188399.5","ENSG00000231514.1","ENSG00000235857.1","ENSG00000233843.1","ENSG00000224240.1","ENSG00000237917.1","ENSG00000227629.1","ENSG00000215506.5","ENSP00000005587.2","ENSP00000009530.7","ENSP00000216392.7","ENSP00000226253.4","ENSP00000247470.9","ENSP00000249071.6","ENSP00000257555.5","ENSP00000258662.1","ENSP00000262233.7","ENSP00000262644.4","ENSP00000262776.2","ENSP00000263278.3","ENSP00000263398.6","ENSP00000266556.7","ENSP00000267568.4","ENSP00000277746.6","ENSP00000283206.4","ENSP00000287934.2","ENSP00000289902.1","ENSP00000293373.6","ENSP00000294435.7","ENSP00000295095.6","ENSP00000299736.4","ENSP00000299759.6","ENSP00000301776.5","ENSP00000305675.4","ENSP00000306565.5","ENSP00000311888.4","ENSP00000318318.6","ENSP00000328923.2","ENSP00000331260.2","ENSP00000332887.6","ENSP00000334113.5","ENSP00000339581.3","ENSP00000342278.4","ENSP00000342557.2","ENSP00000343032.5","ENSP00000344577.2","ENSP00000350848.2","ENSP00000352144.3","ENSP00000358719.3","ENSP00000359497.3","ENSP00000359727.4","ENSP00000363965.1","ENSP00000365012.2","ENSP00000368959.4","ENSP00000370394.3","ENSP00000376349.2","ENSP00000382026.4","ENSP00000383155.2","ENSP00000385478.2","ENSP00000391453.1","ENSP00000396874.2","ENSP00000408288.3","ENSP00000418571.4","ENSP00000427463.1","ENSP00000428657.2","ENSP00000432799.3","ENSP00000448911.2","ENSP00000465281.1","ENSP00000500245.1"
"ENSG00000277146.1",0,0.972155918629362,1,0.980175874107342,0.937291681633528,0.984452276254417,0.940908133569443,0.932826339613537,0.949721417496954,0.265288933722014,0.309271495410679,0.296597329786755,0.309012918082568,0.336444903518114,0.258550934582632,0.26532848278885,0.361335204488662,0.316212972135604,0.270107846383243,0.264746551625337,0.262522277902678,0.282519564698243,0.263281266801244,0.345216075708236,0.316269495958229,0.291549974922282,0.279068192577871,0.293577906174137,0.30624755576098,0.298693542083362,0.289074950126902,0.383454067565095,0.437029900225612,0.318007618997469,0.28811697229167,0.330159017677329,0.351443256020581,0.27297300900041,0.358347536192606,0.299343513905234,0.419216597887911,0.407592536417324,0.276866962356175,0.279102940268322,0.337302430120797,0.318001662639623,0.304056341808172,0.41625429400547,0.262688766272041,0.288594763642125,0.28730486356562,0.28935152402649,0.269155367904626,0.329278446631315,0.358857458315911,0.325079982989036,0.300580818100578,0.312291866687405,0.300358547212235,0.32496903008258,0.31666220768893,0.316703658207363,0.379599539121579,0.284747733377488,0.26073693098148,0.283975942677073,0.328953296415564,0.272351373736012,0.267291143025212,0.283164990540056
"ENSG00000188399.5",0.972155918629362,0,0.971338597370133,0.95691550114508,0.965689068797535,0.949011809444247,0.964163915237393,0.953599364807776,0.943497547429684,0.264743061168905,0.310812722537554,0.30277960565013,0.3052724773153,0.336756122776743,0.257506358363402,0.261202680025922,0.356043358777473,0.312942394001685,0.275262224939571,0.260816009497492,0.277965804559385,0.27905274561494,0.261209942847542,0.333865084396639,0.313298867139895,0.292176179775342,0.28136923566066,0.301624273419598,0.31052661811334,0.301349383240054,0.285881462754365,0.37156155448184,0.424411685235074,0.319939554956332,0.274640738763355,0.335707765952192,0.352014553464452,0.276258822828489,0.352545794662275,0.290813333738648,0.409298710844334,0.415196149839204,0.281242613263011,0.281356247013475,0.32817103105777,0.315131918275857,0.309733420510482,0.414602192470802,0.25950689822591,0.285996300646485,0.302342713239671,0.286021965713509,0.273508178571456,0.327465837205646,0.347190676752204,0.323458325636023,0.298855065436246,0.310700557448494,0.302239307135901,0.315147276213449,0.314023711927556,0.312207395158313,0.384056944097288,0.27877602561114,0.262129063813797,0.273092174675697,0.33448687815601,0.273198494119087,0.268610746538095,0.273579038104703
"ENSG00000231514.1",1,0.971338597370133,0,0.954948255796745,0.938912309631792,0.979663384148635,0.959814242335132,0.940853271279459,0.946582109581429,0.268517735060656,0.310211099830918,0.281375169039513,0.313339182203445,0.344122042031974,0.266898461763449,0.260970312336462,0.350386055063948,0.317994893512633,0.267865491716733,0.265858601942599,0.267490509200016,0.282558159390691,0.263649060508874,0.341309651802616,0.306210658057237,0.291491461767663,0.27596802089769,0.290804893818696,0.305492068939429,0.305124890074349,0.289115055618187,0.379233061326477,0.428963213380999,0.317162832194021,0.277590422790426,0.328541325393859,0.353886296693558,0.270380327700054,0.358522362773602,0.295748725026906,0.411575726787384,0.406977356201014,0.28072846602506,0.281896882293636,0.327819477793197,0.309702407157926,0.301537983142927,0.419252610770852,0.262153151559,0.285281472490386,0.284779410210863,0.283333409491009,0.274981288434952,0.327648311300541,0.349864962219465,0.325200779062026,0.292186529483059,0.314343245779977,0.300035659767936,0.325435513178423,0.322909472821629,0.310873092048065,0.39032066792741,0.285550724713264,0.265035803350078,0.27909736733722,0.330967219259003,0.267147302045348,0.261664627719776,0.270085358023803
"ENSG00000235857.1",0.980175874107342,0.95691550114508,0.954948255796745,0,0.972345551707333,0.936742558486936,0.942568884179759,0.945216954341514,0.936248399184908,0.263996254322792,0.302170565939578,0.285704637282341,0.299414205587409,0.333122342643952,0.260090998520517,0.259668037039733,0.353975750533091,0.314281110220041,0.265512269533942,0.260008159412524,0.261244907440455,0.274085403301017,0.258298390017711,0.336877966963394,0.306049868659174,0.291241468079307,0.273113025075674,0.29207409989335,0.305979038660097,0.297923671441421,0.286443895707469,0.378911555590003,0.426104114898417,0.310651580844458,0.274043436052959,0.326942609588239,0.34813287575704,0.27567549927381,0.349385464123685,0.292141122339231,0.401912601138362,0.423017577396713,0.282611494865669,0.28155885295489,0.334506136997171,0.303111646370411,0.305724214530101,0.424551999928802,0.260625288397798,0.288931581040564,0.283786523361109,0.279344348651774,0.2694938308939,0.315582369724771,0.356691711055967,0.314821619307135,0.296100977355139,0.307904539176568,0.296512979234773,0.314524444664668,0.315314406337521,0.30972923125172,0.370632337902654,0.279336596379928,0.260844547782795,0.273320445744804,0.334084951870554,0.268107930457929,0.263505822711258,0.274522286242
"ENSG00000233843.1",0.937291681633528,0.965689068797535,0.938912309631792,0.972345551707333,0,0.954615186644558,0.939203029624664,0.940440909505226,0.930227792088357,0.265465062498572,0.307132061736479,0.286911127991616,0.29074612352826,0.32723295958844,0.245438988100165,0.255902684936982,0.34433432866285,0.303895269346194,0.259403914558984,0.258376560676696,0.259312036895238,0.272668255478599,0.256949833229436,0.339841848308892,0.297067150841883,0.287750021709898,0.270080864194695,0.294101678659138,0.299546784327005,0.292384630545884,0.281846160057733,0.377331380078831,0.430673166793279,0.30894800015903,0.266921797930156,0.330241756201741,0.343803087424526,0.266885587068082,0.348587307609212,0.280279361851425,0.396913891065483,0.403146417089713,0.276710504628794,0.266605139206515,0.323705104988979,0.308341787336447,0.302093353981572,0.413818908356801,0.254244201163428,0.279449985577278,0.288915522121143,0.279064568454115,0.260627006455429,0.320531493780511,0.354183227955928,0.314779593200381,0.290505662068036,0.311256764086502,0.285764360097012,0.308047837953477,0.320620854941142,0.309187177788486,0.368906554734115,0.276802493518744,0.264671524704571,0.274299163494443,0.33458917616666,0.269954795292113,0.257977821470198,0.266061263619827
"ENSG00000224240.1",0.984452276254417,0.949011809444247,0.979663384148635,0.936742558486936,0.954615186644558,0,0.893871589603661,0.936071751614585,0.940426236553808,0.261816352309242,0.309071904448363,0.285248990249346,0.300279002689154,0.330350958703897,0.259197811070119,0.258716933600821,0.350651195121797,0.305675006927846,0.266293281100722,0.258794595504735,0.264918174101653,0.276263361035634,0.255962057616988,0.332232359469071,0.301491397415968,0.284759547915864,0.279722878393964,0.293675402129423,0.303978451430472,0.293383740428564,0.288175932152073,0.374621096496751,0.427953701082019,0.306120878344308,0.269991851424408,0.325827249858821,0.345212150274411,0.265588103217458,0.35293910688619,0.296109005790994,0.398238221974095,0.410595223347078,0.273885019273154,0.267883588625195,0.325421968780501,0.313812313768076,0.303190808482449,0.409997815464329,0.253942718518263,0.278568445126273,0.283804063663674,0.280655781696838,0.266104048109828,0.312279052306623,0.350396331998885,0.320589925467769,0.283312604097455,0.302621932183572,0.298519311497331,0.310823037862272,0.315149855591043,0.309535460471581,0.381784470180559,0.283877878872038,0.255949780713065,0.273852484307802,0.330058903686362,0.275188450588404,0.254608909614339,0.272919380537409
"ENSG00000237917.1",0.940908133569443,0.964163915237393,0.959814242335132,0.942568884179759,0.939203029624664,0.893871589603661,0,0.937316345357973,0.890379615714737,0.257309973802241,0.289640477379011,0.293515195461267,0.300491025522982,0.326109982927703,0.246795292988821,0.247673526691012,0.336606029241615,0.310028680598083,0.26093761233405,0.249057206971708,0.259483128394705,0.269891309591787,0.25849704004489,0.329857851393991,0.302262976475702,0.280009902072745,0.269683560927068,0.287191601619293,0.298002961786153,0.288299913214531,0.277829604187541,0.374550166559793,0.418710971453067,0.302319699963619,0.271901550155177,0.331085150470119,0.337666659755722,0.266664046441852,0.338206054149786,0.291935470463216,0.39419313726092,0.404991737740306,0.273670467070711,0.266682681306706,0.32613386117399,0.300557906496322,0.292544280341279,0.406869859365915,0.252543654568259,0.279377874919337,0.274360053238123,0.279503074520413,0.258310626870829,0.313833458665204,0.346542087430924,0.306232696376899,0.286887899870311,0.304461962323312,0.290028395785276,0.316014431318312,0.310708966810974,0.302152801921206,0.370346525670042,0.26747337974868,0.253454986460393,0.269236677781598,0.320737658956008,0.265017987818279,0.255857904494053,0.264154933360052
"ENSG00000227629.1",0.932826339613537,0.953599364807776,0.940853271279459,0.945216954341514,0.940440909505226,0.936071751614585,0.937316345357973,0,0.932975951464933,0.264486956003465,0.301755868482566,0.294135297037606,0.304003205490398,0.336068490895617,0.249130386106504,0.253609337438149,0.352890045012996,0.307737556549867,0.268484882762413,0.257203604973761,0.265743277438685,0.280629731446576,0.258745502071852,0.333107974367631,0.306462442358247,0.285514003220812,0.27065318570681,0.29473180277636,0.306933599030653,0.292313122749162,0.281798066622048,0.377664055288275,0.416394784330336,0.303092790432569,0.27495879620254,0.340129310546867,0.345345748477993,0.271545808287925,0.356597816435245,0.288681195090386,0.40130552917142,0.403622575422624,0.275085611230625,0.27485528154272,0.327017777623016,0.305724006866028,0.300907416407199,0.413024479633257,0.255870113823873,0.27972159521917,0.284830057584669,0.2840662562211,0.262018136099755,0.31037797940656,0.337368946715295,0.313086541451047,0.295176974980669,0.306856460382301,0.290195048281045,0.307513447170939,0.305438529815684,0.2981443383355,0.36935227696315,0.274664522487037,0.256531974080411,0.268399016115047,0.323294264588988,0.26998453508012,0.25815036189576,0.270050261680464
"ENSG00000215506.5",0.949721417496954,0.943497547429684,0.946582109581429,0.936248399184908,0.930227792088357,0.940426236553808,0.890379615714737,0.932975951464933,0,0.258800552130619,0.301829342644845,0.283574605366157,0.288900279534665,0.3331895120207,0.248845147723693,0.251246299903157,0.342317311001961,0.307253656853204,0.25938512239085,0.25356012995512,0.249301083569274,0.270017399446459,0.255475541123092,0.331057853675944,0.304804146195731,0.2781625441244,0.260593083707827,0.292085421684543,0.294416632922245,0.283064965966778,0.28321886530047,0.363139850023521,0.410735072118554,0.299747895402883,0.269762399583031,0.324487029438266,0.331218652318496,0.262902788611984,0.34171979737732,0.284063573481267,0.386731442339869,0.402633633049508,0.273829973443359,0.264971910697867,0.326354034025434,0.30000472543336,0.285417258346144,0.418896411888891,0.253516373854227,0.28178171322352,0.277195448856195,0.27455252759694,0.256984633188977,0.298602328659515,0.345783836388189,0.319961936935883,0.291256356125398,0.294714658316649,0.28819108795414,0.312473378427583,0.306304765638752,0.299697903511872,0.362508523964692,0.277793847098506,0.248227677995362,0.273369836840934,0.330696660735649,0.268863119774036,0.250290045280516,0.266032038389719
"ENSP00000005587.2",0.265288933722014,0.264743061168905,0.268517735060656,0.263996254322792,0.265465062498572,0.261816352309242,0.257309973802241,0.264486956003465,0.258800552130619,0,0.0829991316897322,0.0775194605402914,0.0805491169213163,0.0882885319163278,0.0674878045429257,0.0685927429024356,0.0921014963525804,0.0842349979231113,0.071437632779241,0.0698152234424208,0.0719702935046455,0.0725056752136677,0.0689702949660271,0.0921660789226374,0.0821154308219068,0.0757610506975234,0.0739925050949287,0.0788534753146678,0.0800390448690576,0.0794341288407022,0.0764191547185204,0.101160762970072,0.111924755785455,0.0827551676619469,0.0749212180160636,0.0892872512231427,0.0913011700453735,0.0722561186193799,0.0958760374271115,0.078386126958407,0.109493967154764,0.107713641862985,0.0732572966210003,0.0729936685497786,0.0884426090518882,0.0824704747160921,0.0807473098058333,0.111745217823039,0.069044861102245,0.0770910570422976,0.0752634691304889,0.0758670382995335,0.0710734786808768,0.0832898565006666,0.0912633233215978,0.0857350288020335,0.0795074535055488,0.0805704521017141,0.0793899090202321,0.0854983430247864,0.0835889026850282,0.0828939540237023,0.102021102523751,0.0745925929786124,0.0691336649285541,0.0736724223167533,0.0887818439775677,0.0726168448186761,0.0696550930298378,0.0717373071468844
"ENSP00000009530.7",0.309271495410679,0.310812722537554,0.310211099830918,0.302170565939578,0.307132061736479,0.309071904448363,0.289640477379011,0.301755868482566,0.301829342644845,0.0829991316897322,0,0.088835624075241,0.0936458574628389,0.104779720196722,0.0802224648356841,0.0812822257721176,0.107674287292589,0.0959659061339728,0.0827519049312272,0.0800132029180494,0.0807994389135734,0.0867849402713074,0.0803914166244585,0.104197115080301,0.093710611106969,0.0871722120464043,0.085369930708777,0.0914292059894559,0.0949536742713815,0.0927403946616474,0.0871878565330445,0.116080784122124,0.132864634605632,0.0957975327312819,0.0849503780359862,0.103055591476538,0.104060312525728,0.0834728244704505,0.108133106085611,0.0906342733002129,0.12634996495711,0.12769250456365,0.0858920988784642,0.0873889472692614,0.101786973364633,0.0962283182657379,0.0953213823251283,0.129426204260498,0.0797852543102835,0.0883971328339992,0.0867525328452356,0.0875789369106403,0.0834328563993783,0.098753994174613,0.108920626804224,0.0998995738144004,0.0911999513737123,0.0970206693824695,0.0907729523911858,0.097998928035059,0.0992195159723869,0.0966021806999521,0.119377182993584,0.0872671814096614,0.0809919605036999,0.0846412479640922,0.100449990204272,0.0829661794486045,0.0824450587631858,0.085026759353066
