"","ENSG00000179869.15","ENSG00000240355.1","ENSG00000214754.3","ENSG00000223829.6","ENSG00000229192.6","ENSG00000232072.1","ENSG00000225705.2","ENSG00000279578.1","ENSG00000231539.1","ENSG00000234983.1","ENSG00000261019.1","ENSG00000233539.5","ENSG00000228005.1","ENSG00000287521.1","ENSG00000225507.1","ENSG00000237471.2","ENSG00000286315.1","ENSG00000234686.1","ENSG00000228173.2","ENSG00000286995.1","ENSG00000279104.1","ENSG00000164746.14","ENSG00000221845.4","ENSG00000136275.10","ENSG00000283247.2","ENSG00000218305.4","ENSG00000270763.1","ENSG00000242948.1","ENSG00000229165.1","ENSG00000106571.14","ENSG00000223893.1","ENSG00000224519.1","ENSG00000136273.13","ENSG00000122641.11","ENSG00000146666.5","ENSG00000236078.2","ENSG00000238284.2","ENSG00000224017.2","ENSG00000285536.1","ENSG00000242552.1","ENSG00000158683.8","ENSG00000164500.7","ENSG00000164744.13","ENSG00000229161.2","ENSG00000136205.17","ENSG00000183696.14","ENSG00000188730.5","ENSG00000042813.8","ENSP00000005257.2","ENSP00000218099.2","ENSP00000219794.6","ENSP00000222390.5","ENSP00000222567.5","ENSP00000222800.3","ENSP00000222803.5","ENSP00000225719.4","ENSP00000242059.5","ENSP00000252590.3","ENSP00000254770.2","ENSP00000258761.3","ENSP00000262067.4","ENSP00000262428.4","ENSP00000264451.6","ENSP00000264663.5","ENSP00000265132.3","ENSP00000265346.7","ENSP00000265393.6","ENSP00000265395.2","ENSP00000265523.4","ENSP00000275428.4","ENSP00000275493.2","ENSP00000275605.3","ENSP00000283882.3","ENSP00000297157.3","ENSP00000313050.3","ENSP00000315568.4","ENSP00000315841.7","ENSP00000323811.5","ENSP00000325333.8","ENSP00000326879.9","ENSP00000328410.4","ENSP00000330032.4","ENSP00000336762.6","ENSP00000339503.4","ENSP00000350011.5","ENSP00000356022.4","ENSP00000360671.4","ENSP00000364140.3","ENSP00000364324.2","ENSP00000368031.3","ENSP00000373918.3","ENSP00000378812.3","ENSP00000379901.2","ENSP00000381081.2","ENSP00000398789.2","ENSP00000400922.3","ENSP00000404042.2","ENSP00000419370.1","ENSP00000468927.1","ENSP00000490722.1"
"ENSG00000179869.15",0,0.118840873012583,0.128261084388095,0.133214058268657,0.125967367949507,0.135253473798906,0.14392042316509,0.148339154539155,0.120877254863817,0.124951483440385,0.120328751253968,0.129827231012394,0.143123152138771,0.14677381703741,0.14752119274076,0.123379766583194,0.14112335255609,0.144038378087485,0.149025087083463,0.146333770314735,0.143758028880092,0.147625798623181,0.144852566287679,0.147672713861944,0.12142849920757,0.146926606850877,0.150649540128823,0.122626530852111,0.144155504215042,0.121613392905926,0.141042927746782,0.129743862030033,0.146136225252478,0.120175086116889,0.152181359844059,0.150836184641631,0.119761217810588,0.121182227221626,0.147529931343586,0.133292310489405,0.144033802205056,0.145554070074854,0.145125317201482,0.124106035570418,0.129965961338768,0.152658999918319,0.147630192870248,0.146590529425483,0.152316412976559,0.21807822507527,0.145771871032714,0.177409527777435,0.222070343092503,0.151089356930631,0.192191218345354,0.133009366056711,0.166483383232674,0.138195483952894,0.21737576360783,0.383261510508161,0.317478291591335,0.120772198928538,0.169446629456301,0.146828410159115,0.137772455206796,0.295067383462799,0.291045031134348,0.239877337523407,0.298218040558556,0.308435236152228,0.328205332380013,0.256503991546433,0.153740850959815,0.136212044229143,0.356568540757887,0.393432927533075,0.176890141273424,0.175049664989602,0.235524729741209,0.168641714947816,0.273457466420493,0.149948568285365,0.147487691588522,0.143055031724828,0.340383584776364,0.14023943690639,0.185046339866998,0.130007001287698,0.203699251156623,0.159411433357862,0.367195097966268,0.289509596496625,0.2321790537881,0.130671824775901,0.303890931441755,0.169654755411655,0.147970010975169,0.162471890028892,0.127861784049454,0.237854851847645
"ENSG00000240355.1",0.118840873012583,0,0.100825022232409,0.101421229271954,0.0976955162129228,0.105721041989959,0.115520904247424,0.115561449355247,0.0970073854384057,0.0950289699806932,0.0941962123428144,0.102513792404207,0.115590128034733,0.11797247363297,0.120520671684081,0.100224537886146,0.106794100304552,0.116095896586259,0.118635690197222,0.115195502280234,0.115165250907607,0.122789479071634,0.115627602229972,0.122519722915333,0.0966701651657968,0.118973497108747,0.122042936972791,0.100439395666845,0.117152925070201,0.0965680447929785,0.112187785696005,0.102096082416623,0.118708335743167,0.0951162760940984,0.120842735538096,0.118935487917435,0.0948184523899798,0.0974900862269541,0.115444892028101,0.10843630952716,0.114744504711323,0.117393006231444,0.11036791244728,0.0982374738240619,0.104366582197269,0.1209918991127,0.117190218267757,0.116281357652628,0.123228817205851,0.176022640110807,0.116444004156433,0.138956897211664,0.175431221265037,0.123938923799991,0.151493674755548,0.106988606046522,0.134444753582067,0.110857163280119,0.176060926745076,0.307539055211693,0.246075292862404,0.0966010840988737,0.136479235268954,0.116830099426085,0.110959950765246,0.233968239533613,0.224574472166825,0.191719881626651,0.244135129523161,0.241758919911833,0.261878178466175,0.205494367860607,0.121911416538273,0.10830986705584,0.280468208756352,0.314089073069141,0.142519711445621,0.139127903729321,0.183418688157453,0.133900827893236,0.226392537843698,0.119654843435374,0.11567227130067,0.115648254706893,0.263765684815344,0.11421672627905,0.14406646011911,0.106124826411331,0.161479665837877,0.133105739097149,0.287356891019725,0.224420391456932,0.187576995203844,0.106418370327156,0.243578548868522,0.135596678721046,0.115505294345421,0.124780065680081,0.102929641555895,0.18654639272606
"ENSG00000214754.3",0.128261084388095,0.100825022232409,0,0.110883315879732,0.105492424609564,0.109044405726412,0.123285365756144,0.12700073853585,0.103568314465849,0.101839554948276,0.105018930942133,0.111265718279952,0.124896865049526,0.128109238990137,0.125031715891456,0.106382312456683,0.117765610735247,0.122526269563353,0.126076158859055,0.123864491322473,0.120320122172005,0.129909093265823,0.122728307012659,0.130871053762423,0.101622608559407,0.121958402705095,0.132561630171128,0.106688268201217,0.128130512628374,0.104899730713641,0.115866424661802,0.109406225651813,0.127671676304003,0.103878177965547,0.128904463409224,0.125583952312388,0.104609343681342,0.104745949533501,0.124688702860311,0.116083595213736,0.125421805282936,0.127699538853796,0.122822744840055,0.104288091861698,0.11186933790836,0.128216178852328,0.12387865721554,0.124835344052571,0.129833044481106,0.188967552673786,0.126595002531403,0.1492576710906,0.18342054213293,0.133959359846883,0.164519145698285,0.115571379372033,0.143981927067241,0.117927065280665,0.189450552890401,0.333816935271359,0.263376760836778,0.104156348905668,0.142444745229319,0.126769204449082,0.116855176345449,0.256066528390907,0.242584168717902,0.203940362385647,0.253451902372278,0.260844045310007,0.281953688346557,0.218396564687987,0.131253089331238,0.116385327738104,0.304140946157819,0.342456997438588,0.153737873984865,0.146954499700532,0.205827153109928,0.139220397155354,0.237108800840453,0.130822356818696,0.123754120656497,0.12227699393663,0.295977011741202,0.120213425272891,0.152904186568891,0.11239933149418,0.176058426435682,0.139145732043415,0.310364724696428,0.243076572572272,0.203903712629079,0.11318691383202,0.25740822882128,0.146886230963926,0.130455265462767,0.133315429895558,0.109238434871227,0.197744285634253
"ENSG00000223829.6",0.133214058268657,0.101421229271954,0.110883315879732,0,0.108297862074431,0.116430520450574,0.126921783473793,0.127896859651983,0.107201576650729,0.106553214648958,0.10537881725788,0.111274271658193,0.124183000478544,0.128750083791174,0.128695498303307,0.109424809231201,0.119584106867692,0.126103656978001,0.129277387269962,0.124805109856214,0.128157826647218,0.128211778372356,0.123457410422309,0.130945997791364,0.104432459751887,0.125086036380192,0.130658739932386,0.106748774587912,0.129120360487847,0.104224264813984,0.122271102199833,0.11016538150232,0.123511639316371,0.107476506925467,0.132475256863534,0.132227655764599,0.106908786734089,0.10859679338139,0.126436475442707,0.115150960430754,0.124773133205071,0.124889305226208,0.127018278638923,0.107597705469711,0.116432594975654,0.132545401169199,0.125078907833012,0.124640065037488,0.133042401375277,0.19066387334689,0.129422875756697,0.156360176868865,0.198166915409895,0.133636495841667,0.168005455202523,0.11476964637642,0.150191982040432,0.119315949263781,0.193698318963424,0.335761562579907,0.26889573258894,0.105446658615854,0.146945765205195,0.126809293554895,0.120071338867458,0.254067118064747,0.248339959798542,0.208028176893285,0.262210699523481,0.266795265301146,0.285739191905407,0.22342028242338,0.136434359036214,0.117254581980938,0.304322655268422,0.336752731106474,0.156430063172744,0.146924945221657,0.208364428510872,0.14530539954117,0.246141648366246,0.131491858260834,0.128120829062031,0.124646414583406,0.297812170693768,0.125672458837228,0.156211149847195,0.110871493377591,0.175833471733225,0.142535466785363,0.316850008481418,0.24381439775288,0.210729759513126,0.115116174033232,0.263518200784224,0.149905190271349,0.131835164359113,0.139958690535168,0.111272777364537,0.206205498577175
"ENSG00000229192.6",0.125967367949507,0.0976955162129228,0.105492424609564,0.108297862074431,0,0.107053880474448,0.120999128432052,0.12050350577886,0.100722388340925,0.0986566495891828,0.100925860754279,0.104746731677211,0.121196436331744,0.123197638251489,0.12017267142502,0.10124605130715,0.111417840850202,0.117816424521706,0.122945994754801,0.118933442345806,0.121431965317643,0.122278541803904,0.119527832384379,0.126093151569835,0.099282013413815,0.116872701584972,0.126961604596402,0.101358250860089,0.123837144409792,0.100683154042617,0.114250874787695,0.103735097825686,0.122424713771376,0.0991372847067209,0.127117742971708,0.124630365256172,0.0995963025245427,0.0994028399196558,0.119817474077645,0.11076020467924,0.117037695495684,0.122116457650611,0.116950211789999,0.0993674053259284,0.110828482592872,0.127662401412225,0.120982460324678,0.118224762963466,0.126157079115002,0.179476537247257,0.12306748737195,0.143971937662507,0.185117658005699,0.133850281783114,0.157570276051652,0.108770214807098,0.141274562078365,0.113619334302172,0.185405665807574,0.316885542698358,0.262553041376941,0.100495018668588,0.141284453001765,0.120217446300993,0.113897233283498,0.247580455430985,0.237506867771484,0.19821977305983,0.243395839118734,0.255304835530161,0.269396729216061,0.219005133326068,0.127001412602231,0.114038113928467,0.286949101824492,0.323514702226589,0.149974164436016,0.140632361890623,0.19561474668141,0.135639349416915,0.233606173626792,0.120967943986144,0.123570001961113,0.117770768513626,0.281700404788908,0.113036071920178,0.149587196419265,0.108482680265844,0.165438711125437,0.138350407057494,0.299149473058653,0.232558033321752,0.196437344091271,0.106741764067276,0.247442714125233,0.140954611607003,0.122997941332811,0.130618227369548,0.105537021162193,0.196608182131144
"ENSG00000232072.1",0.135253473798906,0.105721041989959,0.109044405726412,0.116430520450574,0.107053880474448,0,0.125728875613062,0.128379133266026,0.107349324411783,0.104611840914568,0.105282846611567,0.112011004082667,0.127879229315029,0.13133441160191,0.130088173231478,0.104977659443813,0.119508982865945,0.125556757046804,0.129482929295525,0.126082682836612,0.126684916383826,0.131626885300925,0.129074868840258,0.128940060403464,0.105650046953066,0.126942319479368,0.131144428954121,0.106705923782274,0.12595655949838,0.104082452959059,0.122787399546995,0.11243521571465,0.127129212649095,0.102944075250497,0.135166718584694,0.128087486055985,0.106808117727346,0.105764794290039,0.127925635253451,0.116533509792085,0.126066029365556,0.125830687353977,0.127286810864729,0.107306223934607,0.113393728667474,0.12969243350026,0.128338452294263,0.125200016241487,0.131930605764886,0.187206377351151,0.128399846741204,0.15739394098831,0.190980109620983,0.136224169174369,0.168606659229504,0.116698862290406,0.148396430236924,0.121224627631461,0.188543565637333,0.337021874827488,0.275310458361208,0.105142527460639,0.145331140211719,0.126712778851938,0.120888461965917,0.262504865494149,0.250609737102159,0.210182648260069,0.256240109284568,0.267036035903898,0.285754837017187,0.223980587298511,0.135756239740829,0.1181232117521,0.302779434932362,0.338335352771963,0.158335736962762,0.148375112321099,0.207375590255613,0.146334508059809,0.245261335862821,0.131903689374954,0.125946890957669,0.124802603093284,0.29559980557058,0.12092513660763,0.156556614436141,0.114694221131855,0.17151882533224,0.14376680766998,0.32360717180135,0.252158284568491,0.204895378601517,0.112940347435864,0.260542305602989,0.150034708662155,0.128603377480044,0.137082905665003,0.111318195550954,0.203922325029087
"ENSG00000225705.2",0.14392042316509,0.115520904247424,0.123285365756144,0.126921783473793,0.120999128432052,0.125728875613062,0,0.143159244979316,0.117295737717309,0.117054940742797,0.117633342680456,0.125096403905978,0.138116911247522,0.138709722220691,0.143004312808367,0.119946681011609,0.130578339935822,0.1398494468486,0.143127056418406,0.144351683151849,0.137235990375525,0.144348338413116,0.140511689738739,0.144589563543292,0.118840549428453,0.138884581354883,0.146260596850637,0.118408644984805,0.144421941791255,0.117263389078465,0.135964756742598,0.121084956890742,0.141755860672647,0.115905690026172,0.146186086414033,0.145302908299168,0.118264710619238,0.119130422864339,0.137127149891313,0.128621566680817,0.138069366413574,0.141407444810567,0.137747724999141,0.120146734307638,0.1284747484318,0.144060374521791,0.14063024664665,0.138602500259414,0.148707040889536,0.211190300707446,0.14495722947562,0.169433679414321,0.218036586172655,0.149158176519336,0.18578087427077,0.131208451677845,0.16143346203221,0.131820004040472,0.213133982387784,0.378656813223842,0.293802246027331,0.117851306393382,0.164651482056751,0.142906555323118,0.133217229765039,0.287625510986937,0.271298628512395,0.230640657482814,0.282797291696231,0.294232510081915,0.31827515861311,0.254024624021493,0.152523437330273,0.130005292820902,0.339964257540125,0.377879538721129,0.173825151858593,0.164434324413213,0.227761311740577,0.160304970908928,0.26877868896524,0.147841585446332,0.141236742775873,0.140993623926475,0.327998167657328,0.136339111204471,0.175445479746867,0.126356287763509,0.188710157783277,0.158324424713491,0.35425204915131,0.273567468514053,0.229211280718722,0.131746208859024,0.291683964425591,0.166558911821996,0.146039616097665,0.154675433718671,0.122112863139352,0.225428773350271
"ENSG00000279578.1",0.148339154539155,0.115561449355247,0.12700073853585,0.127896859651983,0.12050350577886,0.128379133266026,0.143159244979316,0,0.11864506054202,0.117523736200716,0.11666815997336,0.124270432843666,0.138371273053362,0.14511474662059,0.144213217634512,0.120641631685777,0.134880528545532,0.141166926656493,0.144505072482467,0.142821181535933,0.144479951957841,0.141860818469189,0.137438992713243,0.146688811974967,0.121317676912757,0.143236328553271,0.147840124205543,0.121040630626773,0.142848854295895,0.117513482460972,0.13615506565345,0.126329089861674,0.14244942780718,0.116783903729395,0.146986661389989,0.145697705411576,0.119591048954045,0.118123214026596,0.139793183578092,0.13227989577046,0.139133521307144,0.146169899955359,0.142481950618027,0.11835555562082,0.131317405335217,0.145891089995873,0.141968785722055,0.143250836560939,0.146229602946838,0.205939678200995,0.144739667721869,0.170737635628145,0.211665150381548,0.156919394054899,0.18919022552937,0.132512314052947,0.171757141423512,0.134573567874853,0.220112737884399,0.370550329215061,0.296423501867616,0.118190189661483,0.166403456903273,0.14361669762279,0.130856361730796,0.291799183237284,0.27034937826662,0.237122776386225,0.290762424681324,0.293765963162699,0.326554034762431,0.259818321903224,0.152319523124603,0.131160827529076,0.345897614053175,0.379451476865132,0.17130060997751,0.164506521858308,0.228555732856103,0.16197557157646,0.273504775808017,0.14684679415189,0.141756551758504,0.137432934564703,0.333165745774168,0.137962164184185,0.177688656256101,0.128146463562811,0.197450249767029,0.160592667501569,0.358766255866378,0.270908936788508,0.229990651216618,0.129524105161111,0.29708999730773,0.168825389635306,0.143896377432731,0.150459584319781,0.123813235537005,0.230105524443327
"ENSG00000231539.1",0.120877254863817,0.0970073854384057,0.103568314465849,0.107201576650729,0.100722388340925,0.107349324411783,0.117295737717309,0.11864506054202,0,0.0961335755958394,0.0983712566420873,0.103354355549236,0.117760427436652,0.119063340651239,0.119102180145754,0.0997842492892241,0.110200850915642,0.116249689162301,0.120217568415238,0.117032452869744,0.116359797447716,0.120435573421962,0.116897742424293,0.119690584964219,0.0959516321939413,0.1128675179714,0.119963757807866,0.101831770469448,0.117333756902175,0.0982346307885759,0.111535230729361,0.101612744649473,0.116053349655798,0.097254299937296,0.120954421720107,0.121080005346937,0.0958385842571052,0.0986507221531183,0.117546943579239,0.107527965766448,0.114778727493187,0.118304644431315,0.117171818884944,0.0969034648963911,0.106124993145908,0.121348526352929,0.116814011502076,0.117717914861172,0.12404338790262,0.179851487508887,0.119870173812733,0.144496493765272,0.18221076407861,0.126877103881022,0.154918881956703,0.109617130914855,0.134725276710883,0.112302593577436,0.1796715131924,0.319678614816697,0.250376817640031,0.0973309249139595,0.137514565859274,0.117946948946495,0.110938485098001,0.238874735438879,0.228073971385138,0.19309591722174,0.236678841478285,0.24735404264268,0.271018682441969,0.206822719555264,0.126275419821932,0.110359465780607,0.281894524790713,0.318700315821849,0.142704078495483,0.137982164846809,0.188391194301457,0.135354906886621,0.224551542295208,0.122801747768209,0.116351534945337,0.114716362519919,0.271820396521254,0.113608546254892,0.145780327150788,0.106977446483782,0.162737605248835,0.132799331624031,0.294322558574457,0.228143848690865,0.188866579155049,0.105073765159385,0.240192278940932,0.139320072402462,0.116802966514009,0.129698465510446,0.102314288907049,0.188827208149889
"ENSG00000234983.1",0.124951483440385,0.0950289699806932,0.101839554948276,0.106553214648958,0.0986566495891828,0.104611840914568,0.117054940742797,0.117523736200716,0.0961335755958394,0,0.0957730052247327,0.101228066788589,0.110753629650915,0.118696813139788,0.121134815166831,0.0991358230786732,0.109952142898312,0.112667671556746,0.12010662965281,0.11675257371347,0.115618794291907,0.12169776426858,0.115546951356776,0.122711320764352,0.0968840238200558,0.119947022484315,0.121868532668705,0.0998894722506088,0.117414600085617,0.0972572820285008,0.112064867747733,0.0999458307584455,0.116043648075838,0.0971053453788656,0.122391916680463,0.121418413281336,0.0998182787012724,0.0967444272828885,0.12024669361646,0.107266100433,0.115338427228206,0.116557505157416,0.116173060472789,0.0990149610989267,0.106724912938288,0.122579189629245,0.118016577196918,0.115422516275941,0.122045655430432,0.174738048058138,0.118018418791697,0.142855319184081,0.179781602452075,0.122879050044941,0.154484562181655,0.103742087698456,0.136053032274631,0.110346394501852,0.176966054724216,0.316123135145975,0.247689780300229,0.0972814791329346,0.136921580651997,0.117993308360939,0.11055069295911,0.23938591930878,0.226679816341522,0.199838925640526,0.234427438754367,0.247606358634885,0.261092308609959,0.204121439078615,0.125035718355406,0.106943612236106,0.280698792134827,0.318188215984755,0.142941471717113,0.136112891140423,0.190654476528351,0.1345155111482,0.223237295468744,0.117614691419845,0.120106880195603,0.115171552762893,0.269254262148636,0.112832871184814,0.142613777773314,0.104989074783713,0.162883036585266,0.13040134811626,0.291437640359714,0.230404047336857,0.190073001771466,0.106517963400919,0.242854930171506,0.136127560099011,0.120998212348521,0.130051510292759,0.102272645123898,0.192924174820096
