"","ENSG00000223836.1","ENSG00000237236.1","ENSG00000250618.1","ENSG00000224653.1","ENSG00000231232.4","ENSG00000231484.1","ENSG00000236907.1","ENSG00000284221.1","ENSG00000284291.1","ENSG00000284558.1","ENSG00000284572.1","ENSG00000236692.2","ENSG00000283626.1","ENSG00000224723.1","ENSG00000169325.10","ENSG00000228851.1","ENSG00000224880.1","ENSG00000234671.1","ENSG00000230764.1","ENSG00000237309.1","ENSG00000227584.2","ENSG00000228440.1","ENSG00000230531.1","ENSG00000283311.1"
"ENSG00000223836.1",0,0.000714435281299906,0.000694263564456129,0.000684479288389142,0.000699439982907845,0.000704501843458722,0.000734958279275713,0.000657989957664672,0.000676228661214637,0.000702898466486815,0.00066542363382502,0.000645119584600538,0.000652444667424497,0.000680992427356816,0.000677327137936455,0.000667701242681515,0.00065953299657583,0.000665432635221893,0.000620496357506196,0.000670174784917939,0.000675157987277356,0.00065493698870408,0.000671374786804609,0.000685844882753515
"ENSG00000237236.1",0.000714435281299906,0,0.000750576304515573,0.000729627355747196,0.000752212071183794,0.000765315513599379,0.00078830411919612,0.000720279709610557,0.000744939035280983,0.000749893911514911,0.000716930506683971,0.00070595297390014,0.0007205774185641,0.000752144762780763,0.000727238215972757,0.000732002815212242,0.000721122793752266,0.000728011446197506,0.000669322512761705,0.000740048563254661,0.000753320262803144,0.000710409704453386,0.00073184617130877,0.000729924899374121
"ENSG00000250618.1",0.000694263564456129,0.000750576304515573,0,0.000706425353004312,0.000750009582794106,0.000765166093912951,0.000764649439815526,0.000726629246748433,0.000745529187396587,0.000721987527708877,0.000699316433887416,0.000724996313467415,0.000707079303300771,0.000735869345312007,0.000708808555508558,0.000747130851110603,0.000721317394293924,0.000712066721810845,0.000696496889705715,0.000745560323576124,0.000719535320032843,0.000725936580095797,0.000744120608567098,0.000726177945596131
"ENSG00000224653.1",0.000684479288389142,0.000729627355747196,0.000706425353004312,0,0.000683534126943268,0.000728107990563447,0.00071771489012496,0.000661900667261028,0.00070283675041308,0.000691399793799595,0.00067148759202083,0.000675531241561563,0.000665945982772157,0.00068920242573224,0.000688877330609329,0.000664200530771599,0.000668274987346159,0.000697270339826615,0.000640350070751583,0.000697235840156327,0.000711233764692193,0.000657642735959855,0.000713145122724545,0.000668822034311056
"ENSG00000231232.4",0.000699439982907845,0.000752212071183794,0.000750009582794106,0.000683534126943268,0,0.000765859658933885,0.000749067776049113,0.000691684455115015,0.000710378249092469,0.000725163650936574,0.000694885837871937,0.000682219844320411,0.000710737788086076,0.000706429822610598,0.00072003805855102,0.000697477982893936,0.000694090570310502,0.000702757498008397,0.000676185509619087,0.000698688092752375,0.00069975127104955,0.000673440463687971,0.000712043004842329,0.000693481283183327
"ENSG00000231484.1",0.000704501843458722,0.000765315513599379,0.000765166093912951,0.000728107990563447,0.000765859658933885,0,0.000765289628672638,0.000699642800740224,0.000730697708707969,0.000727586875194594,0.000715675476597322,0.00070015085562969,0.000737823476884113,0.000728399489317236,0.000730455471296617,0.000679391765211335,0.000701232325274582,0.000705368240040608,0.000665162664158029,0.000754447637958271,0.000718671687426643,0.000708644579637545,0.000761008143766617,0.000742864790263596
"ENSG00000236907.1",0.000734958279275713,0.00078830411919612,0.000764649439815526,0.00071771489012496,0.000749067776049113,0.000765289628672638,0,0.000707435433889143,0.000747677578728111,0.000747417885076788,0.000737227556038031,0.000731397061934036,0.00072862153091425,0.000731601255212024,0.000758337462614018,0.000730607474368157,0.000743052228514181,0.000737312268827759,0.000688983020254492,0.000759220121120065,0.000753667269756389,0.000729083270263156,0.000738327696766065,0.000732911405249558
"ENSG00000284221.1",0.000657989957664672,0.000720279709610557,0.000726629246748433,0.000661900667261028,0.000691684455115015,0.000699642800740224,0.000707435433889143,0,0.000724458436512291,0.000708525290823077,0.000699236758751152,0.000698073510439202,0.000715550921213563,0.000692134817175589,0.000738356458105874,0.000726413656507132,0.000696109724165802,0.000710483505754295,0.00065717230524944,0.000731893919784561,0.000704267602668518,0.000698244233677142,0.000719820782803791,0.00071384145743602
"ENSG00000284291.1",0.000676228661214637,0.000744939035280983,0.000745529187396587,0.00070283675041308,0.000710378249092469,0.000730697708707969,0.000747677578728111,0.000724458436512291,0,0.00073965667222389,0.000718426492371183,0.000706764325889632,0.000749952351023496,0.000732253490194444,0.000740927415194346,0.000748215910515449,0.000729212058704859,0.000726600959109257,0.000700542136761014,0.000753749597948734,0.000716784412632937,0.000709306679616439,0.000727569872403118,0.000732066716757167
"ENSG00000284558.1",0.000702898466486815,0.000749893911514911,0.000721987527708877,0.000691399793799595,0.000725163650936574,0.000727586875194594,0.000747417885076788,0.000708525290823077,0.00073965667222389,0,0.000708956333832693,0.000682858995110365,0.000719765686641902,0.000728132996858152,0.000746943391182927,0.000699334637051918,0.000695798580815465,0.000695919442702523,0.000703226074673015,0.00072483417995608,0.000734745448070661,0.000705197673296056,0.000743565173225728,0.000760620190756345
