gene_name,30ff778c-844b-4140-9025-7ab1938f10a9,3396edba-0d2a-4485-ad0a-5114b38c1abe,427a04c9-9b48-49de-8a47-2adc4e1dd32a,461fda5d-d6e6-4354-b035-c302cc43b03f,95668f0b-130d-44d4-94c0-ba7a4e7798e6,9dc09c86-c728-4bd9-b2b6-2d9962dad662,a58e2ae3-a236-4209-8292-70465216cb85,d2e2915c-125e-45c6-b7f3-6a815b3d2859,de5e449b-bc57-4836-89e4-73a3ba24abdf,fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8
AC138207.9,59.0,7.0,12.0,6.0,9.0,29.0,14.0,21.0,7.0,11.0
AC138230.1,7.0,4.0,6.0,18.0,7.0,24.0,4.0,17.0,11.0,21.0
AC138304.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138305.1,1.0,0.0,4.0,0.0,3.0,5.0,6.0,0.0,10.0,0.0
AC138305.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC138305.3,1.0,8.0,1.0,1.0,4.0,3.0,1.0,5.0,1.0,4.0
AC138331.1,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0
AC138356.1,33.0,11.0,8.0,22.0,26.0,17.0,2.0,20.0,16.0,17.0
AC138356.2,33.0,4.0,10.0,10.0,85.0,27.0,8.0,73.0,32.0,30.0
AC138356.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138360.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138392.1,17.0,19.0,53.0,17.0,23.0,1.0,30.0,52.0,20.0,17.0
AC138393.1,101.0,98.0,393.0,508.0,128.0,190.0,577.0,345.0,145.0,150.0
AC138393.2,0.0,0.0,4.0,0.0,0.0,8.0,3.0,8.0,0.0,1.0
AC138393.3,9.0,8.0,22.0,17.0,3.0,10.0,42.0,2.0,19.0,9.0
AC138409.1,13.0,29.0,19.0,4.0,5.0,38.0,1.0,12.0,7.0,8.0
AC138409.2,61.0,290.0,141.0,319.0,146.0,184.0,226.0,133.0,152.0,158.0
AC138409.3,0.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,7.0
AC138420.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138430.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC138430.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138466.1,0.0,4.0,1.0,0.0,6.0,2.0,1.0,0.0,8.0,0.0
AC138466.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138466.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138466.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC138466.5,2.0,3.0,2.0,0.0,4.0,15.0,1.0,1.0,7.0,2.0
AC138470.1,7.0,32.0,36.0,14.0,35.0,46.0,13.0,35.0,10.0,12.0
AC138470.2,1.0,1.0,4.0,0.0,1.0,2.0,1.0,3.0,1.0,2.0
AC138473.1,0.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,3.0,0.0
AC138474.1,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,0.0
AC138512.1,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
AC138517.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
AC138623.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138625.1,0.0,6.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0
AC138625.2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
AC138627.1,5.0,0.0,5.0,0.0,2.0,1.0,6.0,0.0,0.0,0.0
AC138627.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138646.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC138647.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC138647.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC138649.1,15.0,3.0,17.0,1.0,22.0,14.0,0.0,3.0,1.0,280.0
AC138649.2,0.0,4.0,3.0,10.0,7.0,5.0,1.0,3.0,1.0,0.0
AC138649.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138649.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AC138649.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138696.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138696.2,13.0,17.0,15.0,6.0,126.0,47.0,9.0,38.0,12.0,42.0
AC138701.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138701.2,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138749.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138749.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138749.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138749.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138749.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138761.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0
AC138761.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138776.1,9.0,8.0,1.0,0.0,7.0,10.0,1.0,2.0,23.0,7.0
AC138781.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC138811.1,0.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,0.0
AC138811.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138819.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0
AC138832.1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
AC138853.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138854.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138866.1,0.0,3.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0
AC138869.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138869.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138869.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138894.1,0.0,1.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,6.0
AC138894.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138894.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138894.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138904.1,6.0,30.0,15.0,31.0,41.0,30.0,41.0,44.0,17.0,79.0
AC138904.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138904.3,0.0,1.0,0.0,12.0,1.0,0.0,4.0,4.0,2.0,0.0
AC138907.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138907.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AC138907.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138915.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138915.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138915.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC138932.1,1.0,1.0,1.0,4.0,0.0,7.0,17.0,2.0,4.0,0.0
AC138932.2,25.0,33.0,17.0,2.0,77.0,46.0,21.0,74.0,13.0,56.0
AC138932.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138932.4,8.0,5.0,11.0,45.0,6.0,11.0,12.0,5.0,7.0,11.0
AC138938.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138951.1,5.0,4.0,22.0,0.0,10.0,10.0,1.0,15.0,4.0,5.0
AC138951.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138956.1,5.0,2.0,6.0,0.0,4.0,11.0,2.0,2.0,1.0,14.0
AC138956.2,5.0,13.0,6.0,4.0,13.0,17.0,16.0,14.0,12.0,20.0
AC138965.1,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
AC138965.2,0.0,4.0,0.0,12.0,2.0,8.0,1.0,1.0,2.0,0.0
AC138969.1,1.0,5.0,5.0,2.0,9.0,8.0,2.0,5.0,12.0,3.0
AC138969.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC138969.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139019.1,27.0,20.0,125.0,38.0,101.0,32.0,44.0,36.0,16.0,37.0
AC139085.1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0
AC139099.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139099.2,8.0,1.0,7.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0
AC139099.3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC139100.1,14.0,4.0,32.0,105.0,169.0,147.0,8.0,121.0,23.0,156.0
AC139100.2,2.0,5.0,21.0,36.0,56.0,155.0,10.0,14.0,59.0,40.0
AC139103.1,5.0,0.0,0.0,4.0,4.0,0.0,1.0,1.0,0.0,0.0
AC139143.1,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0
AC139149.1,17.0,19.0,20.0,3.0,43.0,11.0,1.0,31.0,22.0,45.0
AC139256.1,11.0,2.0,7.0,13.0,6.0,7.0,6.0,10.0,3.0,0.0
AC139272.1,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0
AC139365.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139365.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139426.1,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
AC139426.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139426.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC139426.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139451.1,0.0,2.0,0.0,24.0,0.0,1.0,0.0,0.0,0.0,0.0
AC139453.1,7.0,0.0,47.0,3.0,1.0,2.0,14.0,0.0,5.0,0.0
AC139453.2,13.0,0.0,70.0,34.0,7.0,17.0,31.0,0.0,21.0,3.0
AC139491.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0
AC139491.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139491.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139491.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139491.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AC139491.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139491.7,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC139491.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139493.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139493.2,0.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0
AC139495.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC139495.2,166.0,13.0,12.0,92.0,24.0,20.0,41.0,0.0,40.0,19.0
AC139497.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139530.1,0.0,2.0,3.0,0.0,7.0,10.0,1.0,3.0,4.0,1.0
AC139530.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139530.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139697.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139700.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC139712.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139713.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139718.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139718.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
AC139720.1,0.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0
AC139720.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC139768.1,34.0,43.0,56.0,34.0,57.0,51.0,24.0,108.0,50.0,41.0
AC139769.1,123.0,217.0,173.0,308.0,535.0,371.0,604.0,393.0,645.0,245.0
AC139769.2,3.0,6.0,2.0,3.0,4.0,28.0,3.0,5.0,7.0,12.0
AC139769.3,1.0,6.0,5.0,2.0,13.0,3.0,5.0,11.0,6.0,0.0
AC139783.1,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0
AC139783.2,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
AC139792.1,0.0,1.0,0.0,0.0,2.0,4.0,0.0,1.0,0.0,1.0
AC139792.2,0.0,1.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,3.0
AC139792.3,0.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
AC139795.1,27.0,7.0,68.0,136.0,60.0,48.0,52.0,14.0,98.0,34.0
AC139795.2,143.0,64.0,238.0,332.0,351.0,188.0,175.0,175.0,191.0,180.0
AC139795.3,4.0,11.0,9.0,12.0,5.0,24.0,13.0,60.0,5.0,8.0
AC139834.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC139887.1,0.0,2.0,24.0,42.0,5.0,12.0,2.0,8.0,7.0,11.0
AC139887.2,90.0,58.0,211.0,227.0,364.0,428.0,120.0,195.0,216.0,333.0
AC139887.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
AC139887.4,4.0,5.0,13.0,0.0,10.0,44.0,14.0,18.0,15.0,22.0
AC139887.5,2.0,0.0,2.0,0.0,2.0,4.0,0.0,9.0,2.0,8.0
AC140059.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140063.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140076.1,0.0,0.0,0.0,0.0,1.0,5.0,0.0,3.0,1.0,0.0
AC140113.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC140113.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140113.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC140113.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140118.1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140118.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140121.1,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0
AC140125.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140125.2,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
AC140125.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,7.0
AC140134.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140168.1,0.0,0.0,0.0,0.0,3.0,5.0,0.0,2.0,7.0,0.0
AC140172.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140479.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140479.2,2.0,27.0,16.0,5.0,8.0,128.0,18.0,3.0,25.0,2.0
AC140479.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
AC140479.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140479.5,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC140481.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC140481.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140481.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140504.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140658.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140658.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140658.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
AC140658.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140658.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140658.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140658.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
AC140725.1,0.0,0.0,1.0,0.0,4.0,2.0,0.0,2.0,0.0,0.0
AC140725.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140847.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140847.2,6.0,3.0,1.0,0.0,7.0,3.0,2.0,6.0,14.0,0.0
AC140847.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140878.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC140912.1,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
AC141002.1,6.0,2.0,2.0,8.0,15.0,14.0,2.0,7.0,2.0,39.0
AC141257.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141257.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141257.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141257.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141273.1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC141273.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AC141273.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141424.1,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0
AC141557.1,16.0,14.0,12.0,0.0,7.0,20.0,2.0,12.0,27.0,21.0
AC141557.2,3.0,3.0,3.0,0.0,5.0,6.0,2.0,3.0,19.0,14.0
AC141586.1,82.0,65.0,130.0,73.0,140.0,167.0,61.0,194.0,103.0,145.0
AC141586.2,4.0,2.0,3.0,0.0,9.0,0.0,6.0,23.0,1.0,5.0
AC141586.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141586.4,1.0,0.0,2.0,0.0,3.0,0.0,3.0,4.0,5.0,12.0
AC141586.5,5.0,0.0,6.0,5.0,6.0,8.0,8.0,12.0,9.0,15.0
AC141846.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC141930.1,14.0,27.0,27.0,117.0,101.0,35.0,45.0,79.0,41.0,271.0
AC141930.2,2.0,12.0,6.0,38.0,17.0,105.0,12.0,21.0,10.0,148.0
AC142086.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142086.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142086.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142086.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142086.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
AC142086.6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
AC142116.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142283.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142381.1,1.0,0.0,1.0,1.0,4.0,29.0,29.0,8.0,0.0,46.0
AC142381.2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142381.3,6.0,8.0,16.0,9.0,4.0,5.0,4.0,2.0,15.0,0.0
AC142381.4,0.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142384.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
AC142391.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC142472.1,20.0,27.0,26.0,28.0,110.0,64.0,19.0,70.0,39.0,25.0
AC143336.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC144450.1,12.0,28.0,19.0,269.0,89.0,36.0,45.0,95.0,58.0,261.0
AC144521.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC144522.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC144530.1,56.0,60.0,82.0,104.0,238.0,120.0,38.0,71.0,127.0,32.0
AC144548.1,3.0,3.0,7.0,7.0,3.0,12.0,3.0,8.0,2.0,15.0
AC144568.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
AC144568.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC144573.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC144652.1,54.0,68.0,97.0,88.0,132.0,158.0,32.0,50.0,63.0,113.0
AC144831.1,144.0,66.0,179.0,146.0,14.0,87.0,28.0,300.0,147.0,67.0
AC144833.1,0.0,3.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC144836.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AC145098.1,48.0,14.0,12.0,0.0,6.0,11.0,15.0,24.0,22.0,25.0
AC145098.2,19.0,13.0,31.0,19.0,17.0,35.0,20.0,14.0,29.0,34.0
AC145124.1,17.0,20.0,10.0,16.0,4.0,1.0,2.0,25.0,16.0,17.0
AC145141.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145141.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AC145146.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145207.1,0.0,1.0,4.0,0.0,2.0,4.0,2.0,4.0,4.0,0.0
AC145207.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145207.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145207.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145207.5,42.0,91.0,103.0,88.0,95.0,69.0,70.0,111.0,180.0,376.0
AC145207.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145207.7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
AC145207.8,5.0,3.0,4.0,13.0,3.0,1.0,8.0,6.0,4.0,3.0
AC145207.9,3.0,8.0,24.0,36.0,8.0,19.0,6.0,6.0,3.0,31.0
AC145285.1,4.0,5.0,6.0,1.0,19.0,17.0,3.0,10.0,3.0,6.0
AC145285.2,18.0,10.0,28.0,18.0,37.0,56.0,13.0,35.0,24.0,30.0
AC145285.3,2.0,1.0,7.0,9.0,2.0,8.0,1.0,8.0,2.0,4.0
AC145285.4,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0
AC145285.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0
AC145285.6,9.0,5.0,18.0,10.0,34.0,37.0,4.0,38.0,19.0,18.0
AC145285.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145343.1,4.0,6.0,61.0,8.0,25.0,37.0,3.0,11.0,15.0,37.0
AC145350.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145350.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,9.0
AC145350.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145350.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145423.1,2.0,6.0,5.0,22.0,3.0,31.0,1.0,8.0,2.0,15.0
AC145423.2,7.0,7.0,19.0,0.0,32.0,27.0,0.0,11.0,11.0,8.0
AC145543.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145625.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AC145625.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AC145676.1,16.0,43.0,77.0,0.0,42.0,4.0,9.0,23.0,8.0,2.0
AC146507.1,0.0,1.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0
AC146507.2,1.0,1.0,2.0,0.0,4.0,5.0,3.0,0.0,1.0,0.0
AC146507.3,10.0,4.0,17.0,0.0,4.0,20.0,10.0,8.0,1.0,4.0
AC146944.1,7.0,0.0,0.0,1.0,0.0,0.0,34.0,0.0,57.0,0.0
AC146944.2,6.0,0.0,0.0,2.0,1.0,0.0,10.0,0.0,16.0,0.0
AC147055.1,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
AC147055.2,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
