gene_name,30ff778c-844b-4140-9025-7ab1938f10a9,3396edba-0d2a-4485-ad0a-5114b38c1abe,427a04c9-9b48-49de-8a47-2adc4e1dd32a,461fda5d-d6e6-4354-b035-c302cc43b03f,95668f0b-130d-44d4-94c0-ba7a4e7798e6,9dc09c86-c728-4bd9-b2b6-2d9962dad662,a58e2ae3-a236-4209-8292-70465216cb85,d2e2915c-125e-45c6-b7f3-6a815b3d2859,de5e449b-bc57-4836-89e4-73a3ba24abdf,fb32f0b1-4fb7-43d5-8091-dc13a1f6d9e8
ABCA3,4684.0,3808.0,1748.0,2928.0,6371.0,4844.0,790.0,9463.0,4347.0,2697.0
ABCA4,52.0,75.0,71.0,143.0,100.0,325.0,212.0,67.0,35.0,731.0
ABCA5,658.0,601.0,1897.0,764.0,1372.0,2474.0,647.0,284.0,3035.0,384.0
ABCA6,938.0,284.0,487.0,303.0,144.0,473.0,267.0,573.0,577.0,348.0
ABCA7,933.0,449.0,2084.0,493.0,1421.0,1179.0,1474.0,1565.0,1430.0,552.0
ABCA8,1143.0,535.0,295.0,36.0,740.0,1164.0,31.0,430.0,909.0,78.0
ABCA9,413.0,301.0,503.0,100.0,260.0,924.0,227.0,307.0,497.0,167.0
ABCA9-AS1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
ABCB1,566.0,98.0,99.0,44.0,221.0,347.0,218.0,342.0,566.0,89.0
ABCB10,1196.0,1014.0,2842.0,2918.0,1096.0,1262.0,1479.0,1786.0,1091.0,736.0
ABCB10P1,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,0.0
ABCB10P3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
ABCB10P4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
ABCB11,15.0,2.0,4.0,31.0,9.0,22.0,3.0,2.0,13.0,0.0
ABCB4,99.0,162.0,105.0,262.0,50.0,107.0,96.0,146.0,175.0,65.0
ABCB5,43.0,14.0,7.0,9.0,2.0,31.0,1.0,149.0,12.0,21.0
ABCB6,12.0,16.0,35.0,2.0,57.0,63.0,7.0,4.0,22.0,48.0
ABCB7,1460.0,1231.0,1390.0,1741.0,1960.0,1002.0,1029.0,1744.0,1391.0,1223.0
ABCB8,1891.0,2841.0,3238.0,1416.0,3755.0,1935.0,1040.0,3236.0,1235.0,2154.0
ABCB9,333.0,486.0,772.0,460.0,843.0,993.0,438.0,744.0,650.0,667.0
ABCC1,3972.0,2155.0,5572.0,6540.0,4043.0,4084.0,2171.0,1826.0,3941.0,3420.0
ABCC10,1186.0,962.0,1471.0,1257.0,1712.0,2329.0,1638.0,1398.0,2114.0,1024.0
ABCC11,227.0,346.0,11.0,6625.0,6925.0,110.0,16185.0,857.0,11541.0,435.0
ABCC12,0.0,2.0,1.0,358.0,64.0,58.0,1092.0,4.0,77.0,19.0
ABCC13,0.0,0.0,0.0,97.0,103.0,2.0,0.0,1.0,1.0,254.0
ABCC2,38.0,20.0,35.0,48.0,68.0,309.0,65.0,24.0,29.0,30.0
ABCC3,2493.0,985.0,9578.0,2783.0,2208.0,2237.0,868.0,936.0,1988.0,907.0
ABCC4,1501.0,232.0,770.0,3392.0,99.0,205.0,2459.0,643.0,546.0,685.0
ABCC5,2959.0,3406.0,2103.0,35081.0,2260.0,6897.0,1015.0,2446.0,9757.0,6593.0
ABCC5-AS1,3.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
ABCC6,104.0,130.0,55.0,39.0,245.0,37.0,119.0,43.0,188.0,20.0
ABCC6P1,9.0,3.0,1.0,0.0,23.0,0.0,22.0,2.0,3.0,0.0
ABCC6P2,4.0,9.0,0.0,0.0,12.0,11.0,4.0,3.0,2.0,4.0
ABCC8,86.0,135.0,30.0,419.0,12110.0,171.0,51.0,1063.0,133.0,469.0
ABCC9,2433.0,468.0,797.0,727.0,236.0,531.0,703.0,576.0,1008.0,1417.0
ABCD1,1539.0,1304.0,5828.0,653.0,1169.0,1061.0,1831.0,1437.0,1875.0,2561.0
ABCD1P2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
ABCD1P3,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
ABCD1P4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD1P5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCD2,142.0,111.0,77.0,38.0,24.0,75.0,137.0,72.0,34.0,67.0
ABCD3,3183.0,4687.0,3855.0,9351.0,8059.0,5360.0,3483.0,5032.0,3796.0,4917.0
ABCD4,1955.0,1139.0,1315.0,1067.0,2421.0,2020.0,1355.0,2169.0,2065.0,1506.0
ABCE1,3631.0,3666.0,5149.0,5276.0,2971.0,4580.0,10172.0,3318.0,4371.0,3098.0
ABCF1,4351.0,4010.0,9953.0,4772.0,6633.0,4210.0,4839.0,6215.0,6680.0,3890.0
ABCF2,861.0,1222.0,1729.0,1152.0,1339.0,1331.0,555.0,1209.0,761.0,770.0
ABCF2-H2BE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2P1,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF2P2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABCF3,2476.0,3128.0,1931.0,5163.0,4932.0,4964.0,2167.0,4672.0,3416.0,3469.0
ABCG1,2207.0,2241.0,1546.0,2390.0,3217.0,3301.0,3619.0,7075.0,2138.0,3649.0
ABCG2,491.0,79.0,68.0,158.0,100.0,204.0,151.0,609.0,454.0,111.0
ABCG4,23.0,9.0,26.0,33.0,6.0,10.0,8.0,26.0,18.0,9.0
ABCG5,0.0,3.0,3.0,32.0,15.0,16.0,22.0,14.0,4.0,4.0
ABCG8,2.0,2.0,4.0,0.0,1.0,9.0,1.0,5.0,4.0,2.0
ABHD1,20.0,114.0,46.0,12.0,155.0,28.0,19.0,123.0,18.0,8.0
ABHD10,1463.0,1375.0,1689.0,6140.0,1810.0,2019.0,1251.0,1959.0,1615.0,850.0
ABHD11,865.0,3596.0,2290.0,2249.0,6010.0,6455.0,8658.0,2482.0,978.0,7067.0
ABHD11-AS1,44.0,18.0,1265.0,5.0,55.0,109.0,23.0,166.0,14.0,13.0
ABHD12,4450.0,3416.0,2503.0,4278.0,4716.0,5748.0,2278.0,5493.0,5215.0,5947.0
ABHD12B,23.0,21.0,14.0,39.0,1526.0,1002.0,8.0,10.0,12.0,208.0
ABHD13,1087.0,761.0,2829.0,2283.0,1211.0,1114.0,1379.0,1757.0,1760.0,1872.0
ABHD14A,143.0,184.0,111.0,120.0,603.0,544.0,131.0,391.0,135.0,219.0
ABHD14A-ACY1,0.0,1.0,1.0,0.0,8.0,0.0,5.0,2.0,1.0,8.0
ABHD14B,3167.0,2207.0,1666.0,1739.0,6381.0,3588.0,3945.0,5189.0,2216.0,3722.0
ABHD15,1102.0,503.0,735.0,3079.0,1188.0,1125.0,1716.0,1509.0,1510.0,833.0
ABHD15-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD16A,34.0,32.0,61.0,50.0,93.0,106.0,56.0,60.0,57.0,73.0
ABHD16B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABHD17A,1582.0,1416.0,1758.0,610.0,2628.0,1926.0,628.0,2869.0,2382.0,1359.0
ABHD17AP1,3.0,8.0,2.0,0.0,7.0,9.0,2.0,6.0,6.0,2.0
ABHD17AP3,2.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,2.0,0.0
ABHD17AP4,1.0,1.0,1.0,0.0,5.0,1.0,0.0,0.0,1.0,4.0
ABHD17AP5,2.0,0.0,3.0,0.0,3.0,5.0,1.0,7.0,3.0,0.0
